Number of frames: 250
Frequency: 50
Units: mm

Frame,finger x,finger y,finger z,palm x,palm y,palm z
1,619.117980957,-248.247787476,139.465194702,,,,
2,619.152526855,-248.268081665,139.482025146,,,,
3,619.158935547,-248.277206421,139.501251221,,,,
4,619.170166016,-248.276550293,139.479736328,,,,
5,619.158569336,-248.276428223,139.351776123,,,,
6,619.127746582,-248.277069092,139.171997070,,,,
7,619.096435547,-248.272216797,139.099105835,,,,
8,619.084289551,-248.272827148,139.185302734,,,,
9,619.085449219,-248.276184082,139.342498779,,,,
10,619.117431641,-248.284561157,139.484497070,,,,
11,619.144836426,-248.293609619,139.582443237,,,,
12,619.162780762,-248.285232544,139.682662964,,,,
13,619.109924316,-248.274154663,139.658508301,,,,
14,619.044677734,-248.276931763,139.535751343,,,,
15,618.975830078,-248.287017822,139.407012939,,,,
16,618.888854980,-248.288436890,139.320938110,,,,
17,618.775573730,-248.259048462,139.324569702,,,,
18,618.644165039,-248.183685303,139.359573364,,,,
19,618.502075195,-248.525817871,139.419891357,,,,
20,618.419616699,-249.851074219,140.217041016,,,,
21,618.492431641,-252.002548218,142.185592651,,,,
22,619.007873535,-255.524200439,146.067779541,,,,
23,620.098327637,-260.446044922,152.334350586,,,,
24,621.370483398,-266.119018555,161.084823608,,,,
25,622.469543457,-272.054229736,173.338577271,,,,
26,623.049499512,-278.327941895,188.866760254,,,,
27,623.138732910,-285.289428711,207.023574829,,,,
28,622.903137207,-292.859191895,227.839065552,,,,
29,622.013549805,-300.113861084,250.904174805,,,,
30,620.432678223,-306.149017334,275.687744141,,,,
31,618.626220703,-310.433502197,302.003845215,,,,
32,616.809509277,-313.675109863,327.856445313,686.747680664,-284.734191895,258.271911621,
33,615.335693359,-317.125946045,351.969879150,681.267272949,-288.561828613,278.610565186,
34,614.807556152,-320.082244873,375.281524658,676.580017090,-291.829559326,298.440917969,
35,615.153625488,-322.188049316,397.668823242,672.610046387,-294.638702393,317.560455322,
36,615.511840820,-323.354492188,417.831542969,668.753723145,-296.693176270,334.840637207,
37,615.582702637,-324.094482422,434.474975586,665.549682617,-298.045776367,349.462066650,
38,615.697082520,-325.076904297,447.328155518,663.277282715,-298.981384277,361.070495605,
39,615.479370117,-326.159179688,456.953613281,661.317810059,-299.702697754,369.909271240,
40,615.067504883,-327.268218994,464.299285889,659.313781738,-300.194213867,376.668975830,
41,614.945678711,-328.001586914,470.608764648,657.349487305,-300.525970459,382.238861084,
42,615.235351563,-328.095458984,476.676971436,655.817810059,-300.852203369,387.425506592,
43,615.974548340,-327.226898193,482.707672119,654.673400879,-301.161346436,392.324829102,
44,616.715270996,-325.840789795,488.198822021,653.660461426,-301.310791016,396.707092285,
45,616.865783691,-325.031585693,492.145904541,652.638366699,-301.202148438,400.069580078,
46,616.440673828,-325.150207520,494.342437744,651.852600098,-300.997497559,402.261138916,
47,616.414794922,-325.503265381,495.745910645,651.302185059,-300.943481445,403.593841553,
48,616.883666992,-325.730194092,497.073516846,650.800964355,-301.080566406,404.593139648,
49,617.415771484,-325.777648926,498.464447021,650.408935547,-301.337097168,405.627441406,
50,617.823486328,-325.835235596,499.793457031,650.256347656,-301.594818115,406.728240967,
51,618.087524414,-326.031677246,500.943634033,650.396118164,-301.837860107,407.850677490,
52,618.443542480,-326.484130859,501.821289063,650.667602539,-302.097198486,408.855743408,
53,618.476562500,-327.515258789,501.905670166,650.567260742,-302.216949463,409.195800781,
54,618.337280273,-327.925994873,502.034881592,650.274780273,-302.388854980,409.328491211,
55,617.967224121,-327.983612061,502.173919678,650.032836914,-302.567626953,409.476837158,
56,617.792053223,-327.859771729,502.386383057,649.763977051,-302.670410156,409.607513428,
57,617.777893066,-327.792419434,502.535675049,649.620910645,-302.675537109,409.689758301,
58,617.752868652,-327.737915039,502.639801025,649.605346680,-302.655517578,409.779693604,
59,617.763061523,-327.717681885,502.663391113,649.733459473,-302.679962158,409.821594238,
60,617.864929199,-327.655853271,502.575439453,650.000549316,-302.770874023,409.718322754,
61,618.025390625,-327.364166260,502.318145752,650.270568848,-302.783386230,409.354675293,
62,617.872436523,-327.436004639,501.158355713,650.508789063,-302.546386719,408.407470703,
63,617.510681152,-327.726928711,498.919464111,650.741821289,-302.201202393,406.526763916,
64,617.146972656,-328.219268799,495.430145264,651.105224609,-301.892669678,403.522888184,
65,616.791076660,-328.968963623,490.568908691,651.701293945,-301.646240234,399.285247803,
66,615.982360840,-329.973785400,484.064758301,652.373901367,-301.458251953,393.679290771,
