Number of frames: 1500
Frequency: 500
Units: mm

Frame,finger x,finger y,finger z,thumb x,thumb y,thumb z
1,600.190368652,-193.340515137,150.916473389,617.056884766,-201.888687134,137.989334106,
2,600.202941895,-193.340408325,150.919433594,617.058532715,-201.890884399,137.991058350,
3,600.191833496,-193.341018677,150.915710449,617.056518555,-201.896179199,137.993331909,
4,600.198974609,-193.342010498,150.917999268,617.060974121,-201.898254395,137.993408203,
5,600.208068848,-193.342041016,150.915603638,617.065246582,-201.898880005,137.993453979,
6,600.200927734,-193.342666626,150.914093018,617.055053711,-201.901824951,137.992553711,
7,600.196533203,-193.345260620,150.912628174,617.056213379,-201.903518677,137.991455078,
8,600.211059570,-193.348236084,150.915908813,617.056213379,-201.907318115,137.993209839,
9,600.215454102,-193.349990845,150.915496826,617.051391602,-201.911819458,137.994750977,
10,600.196777344,-193.351928711,150.910186768,617.048095703,-201.915023804,137.994354248,
11,600.203979492,-193.353454590,150.907745361,617.048339844,-201.919174194,137.997024536,
12,600.217102051,-193.351623535,150.911239624,617.054321289,-201.921859741,137.997024536,
13,600.220397949,-193.355728149,150.909118652,617.061828613,-201.922256470,137.996154785,
14,600.225280762,-193.358535767,150.907836914,617.065368652,-201.925781250,137.998092651,
15,600.222106934,-193.361053467,150.909652710,617.067871094,-201.929031372,137.997283936,
16,600.216857910,-193.363632202,150.904205322,617.074279785,-201.930236816,137.999450684,
17,600.220031738,-193.366500854,150.904922485,617.074035645,-201.933990479,137.999877930,
18,600.227539063,-193.366271973,150.902420044,617.077758789,-201.937423706,137.998214722,
19,600.238708496,-193.368484497,150.903854370,617.088012695,-201.939468384,138.002182007,
20,600.239746094,-193.373703003,150.906661987,617.090942383,-201.941665649,138.005920410,
21,600.244934082,-193.372802734,150.908508301,617.097290039,-201.943679810,138.006881714,
22,600.245971680,-193.379394531,150.909957886,617.110717773,-201.946228027,138.010482788,
23,600.249816895,-193.383026123,150.916397095,617.120178223,-201.947982788,138.014068604,
24,600.265197754,-193.382385254,150.916656494,617.117187500,-201.949462891,138.018051147,
25,600.271972656,-193.385055542,150.920593262,617.117309570,-201.951873779,138.022933960,
26,600.266052246,-193.388168335,150.924118042,617.130554199,-201.953887939,138.028411865,
27,600.274719238,-193.390472412,150.927719116,617.137145996,-201.954162598,138.033462524,
28,600.289794922,-193.392517090,150.932632446,617.143676758,-201.957260132,138.039062500,
29,600.297241211,-193.393035889,150.937149048,617.145996094,-201.960922241,138.043731689,
30,600.307617188,-193.395996094,150.941360474,617.156616211,-201.960403442,138.049179077,
31,600.300476074,-193.403396606,150.945617676,617.178344727,-201.960998535,138.055557251,
32,600.308715820,-193.403640747,150.954727173,617.180969238,-201.961685181,138.059982300,
33,600.317382813,-193.403564453,150.960525513,617.180480957,-201.963943481,138.065872192,
34,600.318481445,-193.405624390,150.966964722,617.186096191,-201.966873169,138.072143555,
35,600.323791504,-193.409347534,150.970672607,617.189758301,-201.968704224,138.076782227,
36,600.327209473,-193.412673950,150.973693848,617.203002930,-201.968139648,138.083999634,
37,600.339843750,-193.414382935,150.982162476,617.209106445,-201.968872070,138.090667725,
38,600.337707520,-193.416381836,150.988159180,617.215393066,-201.972030640,138.095764160,
39,600.344116211,-193.417877197,150.995178223,617.218444824,-201.973678589,138.099838257,
40,600.361083984,-193.420120239,150.999801636,617.220825195,-201.975448608,138.107299805,
41,600.365844727,-193.420364380,151.008071899,617.228393555,-201.977722168,138.116348267,
42,600.363586426,-193.423645020,151.010528564,617.238525391,-201.977310181,138.120376587,
43,600.362731934,-193.425598145,151.017059326,617.242553711,-201.977828979,138.124267578,
44,600.363342285,-193.428237915,151.018783569,617.237304688,-201.979293823,138.129150391,
45,600.357849121,-193.430587769,151.027023315,617.241394043,-201.978591919,138.132431030,
46,600.364440918,-193.428939819,151.030838013,617.248901367,-201.979064941,138.137725830,
