Number of frames: 250
Frequency: 50
Units: mm

Frame,finger x,finger y,finger z,palm x,palm y,palm z
1,615.791320801,-249.332168579,136.873382568,,,,
2,615.765136719,-249.325622559,136.724075317,,,,
3,615.734069824,-249.315307617,136.482513428,,,,
4,615.756835938,-249.318679810,136.354843140,,,,
5,615.760864258,-249.315643311,136.229949951,,,,
6,615.733825684,-249.305770874,136.109222412,,,,
7,615.696594238,-249.294723511,136.002471924,,,,
8,615.647094727,-249.274551392,135.949508667,,,,
9,615.636413574,-249.268798828,135.993148804,,,,
10,615.586120605,-249.247497559,136.022018433,,,,
11,615.513427734,-249.222366333,136.027633667,,,,
12,615.428283691,-249.214874268,135.974945068,,,,
13,615.310729980,-249.304687500,135.852432251,,,,
14,615.247558594,-249.744873047,135.796752930,,,,
15,615.220031738,-250.764221191,135.951690674,,,,
16,615.264465332,-252.122589111,137.024459839,,,,
17,615.487915039,-254.532302856,140.388992310,,,,
18,615.852600098,-258.429718018,146.728378296,,,,
19,616.416992188,-263.413818359,156.492340088,,,,
20,617.121948242,-269.606964111,169.568237305,,,,
21,618.042724609,-276.408081055,185.791488647,,,,
22,619.004577637,-283.298492432,204.672561646,,,,
23,619.781250000,-290.088623047,225.623107910,,,,
24,620.593688965,-296.319000244,248.367156982,,,,
25,621.546691895,-301.445434570,272.032165527,703.149719238,-271.695190430,214.192611694,
26,622.212341309,-305.674316406,294.942321777,700.922546387,-275.610473633,233.607070923,
27,622.497192383,-309.935302734,316.612823486,698.001708984,-279.113647461,251.878433228,
28,622.875549316,-314.197723389,337.527770996,694.611572266,-282.467590332,269.342590332,
29,623.306335449,-317.999603271,357.691528320,691.267089844,-285.740447998,286.375549316,
30,623.746032715,-320.843353271,376.973632813,688.188598633,-288.743347168,302.865478516,
31,624.122619629,-322.993621826,394.904693604,685.255187988,-291.256713867,318.304046631,
32,624.117797852,-324.792510986,411.009704590,682.479431152,-293.293060303,332.448577881,
33,623.775939941,-326.294403076,425.454437256,679.867309570,-294.853881836,345.401245117,
34,623.715637207,-327.112243652,438.984466553,677.525329590,-296.037536621,357.478637695,
35,624.145446777,-327.108306885,451.844360352,675.564086914,-297.007171631,368.734313965,
36,624.378601074,-326.807312012,462.866668701,673.959655762,-297.670379639,378.545959473,
37,624.158142090,-326.930297852,471.421691895,672.608459473,-297.944763184,386.512298584,
38,623.772583008,-327.542022705,477.917236328,671.473937988,-298.054290771,392.866119385,
39,623.961364746,-327.786834717,483.528717041,670.499938965,-298.180999756,398.008972168,
40,624.033935547,-327.402191162,488.373657227,669.543884277,-298.216522217,402.238067627,
41,623.803344727,-326.752563477,492.348876953,668.666870117,-298.051513672,405.752532959,
42,623.557006836,-326.306152344,495.503509521,668.015075684,-297.734985352,408.721221924,
43,623.210571289,-325.745269775,498.118408203,667.465576172,-297.404754639,411.191925049,
44,623.315734863,-325.220672607,500.391845703,667.051208496,-297.128143311,413.203948975,
45,622.979919434,-325.240234375,501.652252197,666.742797852,-296.905212402,414.773193359,
46,622.065124512,-326.057037354,501.553771973,666.188964844,-296.575134277,415.241302490,
47,621.388671875,-326.307373047,501.555450439,665.793090820,-296.443908691,415.448089600,
48,620.902160645,-326.456970215,501.601654053,665.704650879,-296.534515381,415.705780029,
49,620.917480469,-326.504943848,501.674072266,665.689147949,-296.733245850,415.635192871,
50,621.717224121,-326.154815674,501.783050537,665.765197754,-297.026458740,415.038269043,
51,622.710998535,-325.955993652,500.935516357,666.341979980,-297.247802734,413.777130127,
52,623.500732422,-326.290405273,498.336456299,667.153930664,-297.219726563,411.250518799,
53,623.947814941,-326.770507813,493.986145020,667.946899414,-297.014343262,407.186218262,
54,624.195251465,-327.265991211,487.936492920,668.748535156,-296.663726807,401.521453857,
55,624.154663086,-327.830963135,479.982788086,669.572326660,-296.159606934,394.119720459,
56,623.446350098,-328.098175049,470.246917725,670.341247559,-295.614562988,385.029022217,
57,622.082092285,-327.573211670,458.979187012,671.243469238,-295.010162354,374.381134033,
58,620.305664063,-326.073852539,446.278686523,672.430908203,-294.249755859,362.348693848,
59,618.528320313,-323.924774170,432.433807373,673.950012207,-293.380950928,349.337005615,
60,616.674255371,-321.661224365,417.256805420,675.408691406,-292.408721924,335.389648438,
61,614.699218750,-319.785614014,400.244506836,677.042358398,-291.117034912,320.559722900,
62,613.097961426,-317.828155518,382.106658936,678.979492188,-289.469238281,305.032348633,
63,612.006408691,-315.315765381,363.863983154,680.814208984,-287.722320557,289.203369141,
64,610.422241211,-312.591705322,345.023681641,682.561279297,-285.814666748,273.479919434,
65,609.371887207,-310.179138184,325.766052246,684.568420410,-283.386657715,257.636444092,
66,609.003051758,-307.994750977,306.552276611,686.773986816,-280.486999512,241.806442261,
67,608.593750000,-305.048400879,287.763000488,688.964538574,-277.538970947,226.373016357,
68,608.398132324,-301.551025391,269.741119385,691.030578613,-274.601531982,211.363021851,
69,608.828613281,-298.109558105,252.541839600,693.332824707,-271.456634521,196.986175537,
70,609.563598633,-294.301422119,236.460433960,695.755615234,-268.074127197,183.532455444,
71,610.142211914,-289.859771729,221.902389526,697.923095703,-264.840057373,171.145843506,
72,610.800903320,-285.212677002,209.188308716,699.673034668,-262.013702393,159.893646240,
73,611.777404785,-281.047821045,198.193023682,701.183532715,-259.606170654,150.036743164,
74,612.692199707,-277.025360107,188.508514404,,,,
75,612.996826172,-272.346527100,180.028701782,,,,
76,613.188110352,-266.992492676,173.702560425,,,,
77,613.571411133,-261.663574219,168.351837158,,,,
78,614.511474609,-257.633483887,163.859085083,,,,
79,615.867614746,-255.562759399,160.405990601,,,,
80,617.345825195,-254.444595337,158.037963867,,,,
81,618.730163574,-253.534362793,155.998504639,,,,
82,619.804687500,-252.793151855,154.024246216,,,,
83,620.396240234,-252.051467896,152.095123291,,,,
84,620.681701660,-251.336380005,150.527450562,,,,
85,620.866882324,-250.966262817,149.405380249,,,,
86,620.891479492,-250.835357666,148.287322998,,,,
87,620.781066895,-250.848754883,146.936309814,,,,
88,620.665466309,-250.912811279,145.829147339,,,,
89,620.350280762,-250.731155396,144.894104004,,,,
90,619.898254395,-250.205017090,143.997238159,,,,
91,619.390502930,-249.523895264,143.072387695,,,,
92,619.044433594,-248.752441406,142.470504761,,,,
93,618.843078613,-248.025665283,142.267425537,,,,
94,618.706176758,-247.430206299,142.055358887,,,,
95,618.583618164,-246.890350342,141.791229248,,,,
96,618.510620117,-246.453552246,141.707763672,,,,
97,618.446105957,-246.100921631,141.607238770,,,,
98,618.331726074,-245.816543579,141.286773682,,,,
99,618.169494629,-245.448883057,140.906692505,,,,
100,618.051330566,-245.217086792,140.605178833,,,,
101,618.000671387,-245.166702271,140.712875366,,,,
102,617.952453613,-245.113632202,140.981109619,,,,
103,617.890136719,-245.039962769,141.111618042,,,,
104,617.831237793,-244.992752075,141.196228027,,,,
105,617.809387207,-244.963241577,141.257064819,,,,
106,617.860900879,-245.015792847,141.233261108,,,,
107,617.998901367,-245.493652344,141.238723755,,,,
108,618.110534668,-246.100646973,141.278976440,,,,
109,618.106506348,-246.238571167,141.340103149,,,,
110,618.125427246,-246.319503784,141.502639771,,,,
111,618.204101563,-246.532211304,141.655822754,,,,
112,618.220336914,-246.583969116,141.770599365,,,,
113,618.206542969,-246.578598022,141.825500488,,,,
114,618.221679688,-246.577194214,141.824752808,,,,
115,618.262878418,-246.618270874,141.827651978,,,,
116,618.274291992,-246.690170288,141.827362061,,,,
117,618.229858398,-246.708175659,141.729110718,,,,
118,618.179748535,-246.707855225,141.542526245,,,,
119,618.159606934,-246.704376221,141.353927612,,,,
120,618.136779785,-246.703277588,141.286270142,,,,
121,618.086425781,-246.691665649,141.235427856,,,,
122,618.028381348,-246.669738770,141.134353638,,,,
123,617.978698730,-246.644088745,141.037582397,,,,
124,617.928222656,-246.617828369,141.117797852,,,,
125,617.904663086,-246.607467651,141.273681641,,,,
126,617.890014648,-246.610076904,141.363937378,,,,
127,617.900207520,-246.612182617,141.400711060,,,,
128,617.951416016,-246.621032715,141.386032104,,,,
129,618.017211914,-246.723617554,141.291000366,,,,
130,618.103210449,-246.957000732,141.202224731,,,,
131,618.200805664,-247.152221680,141.194320679,,,,
132,618.234985352,-247.235717773,141.230865479,,,,
