Number of frames: 250
Frequency: 50
Units: mm

Frame,finger x,finger y,finger z,palm x,palm y,palm z
1,625.479187012,-256.123626709,143.297439575,716.468017578,-261.672363281,98.136566162,
2,625.450561523,-256.132415771,143.316299438,716.457092285,-261.715667725,98.190353394,
3,625.423095703,-256.139739990,143.283691406,716.447998047,-261.748443604,98.206443787,
4,625.387451172,-256.142486572,143.238922119,716.430969238,-261.765228271,98.198783875,
5,625.365051270,-256.143707275,143.175827026,716.429077148,-261.775512695,98.174659729,
6,625.376159668,-256.152069092,143.110046387,716.443359375,-261.786010742,98.110847473,
7,625.385681152,-256.166748047,143.007492065,716.454223633,-261.791137695,97.998710632,
8,625.406066895,-256.177673340,142.894638062,716.463867188,-261.774719238,97.867591858,
9,625.404724121,-256.176300049,142.804504395,716.469116211,-261.750854492,97.752159119,
10,625.407226563,-256.169647217,142.693695068,716.478820801,-261.749145508,97.653991699,
11,625.389038086,-256.166320801,142.568862915,716.492919922,-261.752319336,97.570495605,
12,625.383789063,-256.163665771,142.484497070,716.492553711,-261.757110596,97.496147156,
13,625.372558594,-256.164093018,142.402267456,716.494812012,-261.754272461,97.442153931,
14,625.367309570,-256.158782959,142.355087280,716.503356934,-261.760375977,97.411437988,
15,625.404785156,-256.166076660,142.367996216,716.513671875,-261.774475098,97.394233704,
16,625.413574219,-256.176391602,142.402282715,716.531982422,-261.789428711,97.413909912,
17,625.380310059,-256.173614502,142.390884399,716.539733887,-261.797912598,97.466827393,
18,625.368652344,-256.174438477,142.388320923,716.545043945,-261.802551270,97.517684937,
19,625.364013672,-256.180114746,142.440109253,716.518127441,-261.795227051,97.551109314,
20,625.321472168,-256.182617188,142.487472534,716.491760254,-261.793518066,97.616790771,
21,625.288574219,-256.176727295,142.542297363,716.471618652,-261.798980713,97.709335327,
22,625.284851074,-256.177551270,142.630569458,716.453552246,-261.786376953,97.758575439,
23,625.283508301,-256.180633545,142.694717407,716.446105957,-261.785736084,97.798889160,
24,625.283874512,-256.180450439,142.720077515,716.440124512,-261.802185059,97.830688477,
25,625.288208008,-256.184661865,142.728454590,716.441162109,-261.807159424,97.813827515,
26,625.281555176,-256.182434082,142.687881470,716.425170898,-261.811950684,97.781326294,
27,625.241088867,-256.179687500,142.592971802,716.418640137,-261.819580078,97.741523743,
28,625.249450684,-256.183807373,142.524337769,716.429199219,-261.828002930,97.668487549,
29,625.282165527,-256.197814941,142.497985840,716.443908691,-261.852783203,97.616600037,
30,625.291931152,-256.203308105,142.508224487,716.457519531,-261.876556396,97.641181946,
31,625.291503906,-256.200744629,142.543334961,716.482788086,-261.878845215,97.705116272,
