Number of frames: 250
Frequency: 50
Units: mm

Frame,finger x,finger y,finger z,palm x,palm y,palm z
1,619.644531250,-253.498809814,139.244186401,,,,
2,619.610961914,-253.493759155,139.411010742,,,,
3,619.553344727,-253.484222412,139.529815674,,,,
4,619.528808594,-253.472320557,139.617630005,,,,
5,619.482116699,-253.466552734,139.688095093,,,,
6,619.439819336,-253.458602905,139.735397339,,,,
7,619.392883301,-253.448471069,139.737335205,,,,
8,619.396118164,-253.448760986,139.683593750,,,,
9,619.432922363,-253.462692261,139.598312378,,,,
10,619.447814941,-253.467437744,139.516632080,,,,
11,619.427246094,-253.458068848,139.418624878,,,,
12,619.390319824,-253.447921753,139.306289673,,,,
13,619.364929199,-253.446472168,139.232574463,,,,
14,619.306823730,-253.450500488,139.211669922,,,,
15,619.252441406,-253.560348511,139.260559082,,,,
16,619.238830566,-254.018081665,139.449645996,,,,
17,619.160339355,-255.104431152,139.779953003,,,,
18,619.130493164,-256.947265625,140.709381104,,,,
19,619.249633789,-259.541412354,142.828582764,,,,
20,619.777893066,-263.230895996,147.344711304,,,,
21,620.524475098,-267.563690186,154.546127319,,,,
22,621.611999512,-272.465209961,164.906402588,,,,
23,622.989624023,-277.794586182,178.547760010,,,,
24,624.732116699,-283.658966064,195.054367065,,,,
25,626.916442871,-290.010406494,214.395034790,,,,
26,629.491577148,-296.309265137,235.875396729,,,,
27,632.313171387,-302.289062500,258.445953369,709.079162598,-268.511627197,196.349197388,
28,634.749389648,-307.398681641,281.324584961,707.769348145,-273.085235596,215.533782959,
29,637.044860840,-311.734863281,304.197570801,706.577697754,-277.436035156,235.103805542,
30,639.144775391,-316.029510498,326.092620850,704.875793457,-281.373504639,254.015518188,
31,641.259704590,-320.304412842,346.978393555,702.682312012,-284.975067139,272.162170410,
32,643.195922852,-324.015594482,367.001800537,700.618530273,-288.317565918,289.938507080,
33,645.190612793,-326.705352783,386.406188965,699.172363281,-291.306030273,307.332244873,
34,647.132934570,-328.359497070,404.888641357,697.954650879,-293.746307373,323.807891846,
35,648.984375000,-329.641418457,421.877655029,696.780334473,-295.592559814,339.036315918,
36,650.661560059,-330.550170898,437.138885498,695.671997070,-296.941558838,352.883483887,
37,652.137878418,-331.018981934,450.559783936,694.713012695,-297.921630859,365.219940186,
38,653.205566406,-330.904144287,462.085815430,693.693725586,-298.574920654,375.748565674,
39,653.988525391,-330.598205566,471.642639160,692.646118164,-298.908172607,384.386322021,
40,654.706115723,-330.123535156,479.646911621,691.904602051,-299.130828857,391.557464600,
41,655.611572266,-329.664825439,486.493743896,691.602172852,-299.309265137,397.770202637,
42,656.856567383,-328.675689697,492.775360107,691.293945313,-299.418914795,403.188720703,
43,657.886108398,-327.271057129,498.212799072,690.678344727,-299.465881348,407.650054932,
44,658.681823730,-326.070739746,502.315917969,690.114257813,-299.497619629,410.982421875,
45,659.245361328,-325.652160645,504.897277832,689.871887207,-299.548706055,413.239440918,
46,659.042480469,-326.786041260,505.301330566,689.542724609,-299.478607178,414.164276123,
47,658.705688477,-327.075622559,505.407958984,688.649536133,-299.519866943,414.061584473,
48,658.426391602,-327.324279785,505.491271973,688.118103027,-299.785980225,414.018035889,
49,658.041137695,-327.755218506,505.517395020,687.990478516,-300.200683594,414.128540039,
50,657.893371582,-328.006683350,505.579650879,687.867309570,-300.588012695,414.128540039,
51,657.887023926,-328.088287354,505.612396240,687.523010254,-300.862548828,413.903381348,
52,657.868530273,-327.969970703,505.611053467,687.166259766,-301.146820068,413.586029053,
53,657.612365723,-327.848388672,505.219665527,687.153869629,-301.444244385,413.015777588,
54,657.516052246,-328.462310791,503.746185303,687.184020996,-301.645935059,411.649810791,
55,657.190612793,-329.258728027,501.153289795,687.098876953,-301.816833496,409.219360352,
56,656.387207031,-330.422241211,497.174835205,687.134704590,-302.028656006,405.710662842,
57,655.474975586,-331.681121826,491.924560547,687.279052734,-302.302764893,401.035278320,
58,654.533752441,-332.843750000,485.458312988,687.571777344,-302.544799805,395.124298096,
59,653.361877441,-333.882843018,477.801696777,687.862609863,-302.763458252,388.002777100,
60,651.920410156,-334.837066650,468.735626221,688.202331543,-302.926361084,379.575317383,
61,650.856628418,-335.805419922,458.098693848,688.904541016,-302.965698242,369.687774658,
62,650.445129395,-336.559509277,446.135498047,690.063598633,-302.934112549,358.352355957,
63,649.942443848,-337.012939453,432.642517090,691.337524414,-302.769134521,345.496673584,
64,648.525329590,-337.002166748,417.032379150,692.807067871,-302.206115723,330.922393799,
65,646.605895996,-335.979217529,399.834289551,694.312316895,-301.202575684,314.761260986,
66,643.765502930,-333.377716064,381.501922607,695.716003418,-300.070251465,297.567138672,
67,640.061401367,-329.394042969,361.797180176,697.260437012,-298.656768799,279.727325439,
68,636.380493164,-324.553375244,340.893096924,699.027465820,-296.735931396,261.525024414,
69,633.362854004,-319.501953125,319.617187500,700.773681641,-294.308044434,243.379699707,
70,630.898315430,-315.067871094,298.713714600,701.988464355,-291.579772949,225.636077881,
71,628.490905762,-311.336395264,278.460144043,702.823547363,-288.588867188,208.647155762,
72,626.654357910,-307.418395996,259.561828613,703.646545410,-285.442108154,192.606063843,
73,625.252929688,-303.071166992,241.758239746,704.812011719,-282.255401611,177.725708008,
74,624.243041992,-298.623687744,225.201156616,706.252929688,-279.120697021,164.158859253,
75,623.500000000,-294.384918213,210.333145142,707.705871582,-276.126770020,152.163681030,
76,622.491027832,-290.254058838,197.346481323,708.655151367,-273.486083984,141.748947144,
77,621.184448242,-286.284210205,186.218048096,708.863647461,-271.437316895,132.630477905,
78,619.966735840,-282.918609619,176.283508301,709.251831055,-269.807922363,125.013694763,
79,619.379211426,-279.918395996,167.852493286,710.133117676,-268.575134277,119.167526245,
80,619.595336914,-276.864379883,161.709259033,711.077636719,-267.754150391,114.818466187,
81,620.095520020,-274.037261963,156.869400024,,,,
82,620.929809570,-271.897094727,153.233581543,,,,
83,621.847717285,-270.540527344,150.567169189,,,,
84,622.634033203,-268.744445801,148.342407227,,,,
85,623.081787109,-265.885253906,146.560821533,,,,
86,623.145019531,-263.029479980,145.391784668,,,,
87,622.878723145,-260.491424561,144.673645020,,,,
