Number of frames: 250
Frequency: 50
Units: mm

Frame,finger x,finger y,finger z,palm x,palm y,palm z
1,619.432006836,-251.878250122,144.138656616,713.069335938,-253.679260254,104.610183716,
2,619.438049316,-251.921035767,144.085235596,713.025756836,-253.707473755,104.508811951,
3,619.424316406,-252.036590576,144.061676025,712.954956055,-253.749679565,104.395034790,
4,619.400207520,-252.085296631,144.008255005,712.872619629,-253.778732300,104.274375916,
5,619.393859863,-252.129806519,143.994338989,712.800109863,-253.791854858,104.165908813,
6,619.410034180,-252.172668457,144.037582397,712.760070801,-253.795761108,104.112785339,
7,619.383300781,-252.179718018,144.067062378,712.722839355,-253.775711060,104.108833313,
8,619.381408691,-252.149871826,144.137008667,712.681213379,-253.744689941,104.142402649,
9,619.355590820,-252.113067627,144.220397949,712.665954590,-253.709213257,104.200088501,
10,619.317810059,-252.075790405,144.277084351,712.638061523,-253.677917480,104.261375427,
11,619.257873535,-252.039932251,144.254150391,712.615417480,-253.655807495,104.300430298,
12,619.214965820,-252.011184692,144.156936646,712.593688965,-253.642501831,104.279037476,
13,619.190856934,-251.993896484,144.058044434,712.579101563,-253.637771606,104.226966858,
14,619.180786133,-251.986206055,144.021438599,712.570312500,-253.641220093,104.180404663,
15,619.179931641,-251.982986450,144.008804321,712.579956055,-253.647293091,104.164291382,
16,619.172241211,-251.969650269,143.962310791,712.586853027,-253.652633667,104.166938782,
17,619.147399902,-251.957580566,143.879302979,712.599792480,-253.652496338,104.160263062,
18,619.151306152,-251.942153931,143.859039307,712.608642578,-253.637802124,104.128990173,
19,619.148742676,-251.930969238,143.816314697,712.609558105,-253.620635986,104.066986084,
20,619.138854980,-251.929031372,143.705322266,712.620971680,-253.633071899,104.000076294,
21,619.101440430,-251.924194336,143.567962646,712.610046387,-253.652313232,103.975074768,
22,619.059814453,-251.908645630,143.514587402,712.582763672,-253.641235352,103.980827332,
23,619.034240723,-251.898529053,143.625244141,712.545593262,-253.614898682,104.009887695,
24,619.030090332,-251.888763428,143.743637085,712.518737793,-253.623825073,104.081184387,
25,619.000244141,-251.887878418,143.786300659,712.520507813,-253.649230957,104.157020569,
26,618.996948242,-251.882675171,143.809478760,712.505920410,-253.655471802,104.199745178,
27,618.981567383,-251.871688843,143.831878662,712.479431152,-253.625305176,104.217330933,
28,618.942749023,-251.860275269,143.869934082,712.452453613,-253.596389771,104.246528625,
29,618.941589355,-251.849441528,143.965454102,712.427978516,-253.588409424,104.283325195,
30,618.923950195,-251.837600708,143.976455688,712.413208008,-253.582611084,104.286994934,
31,618.880432129,-251.810211182,143.878005981,712.379516602,-253.576522827,104.264251709,
32,618.851989746,-251.793273926,143.786987305,712.357910156,-253.553497314,104.204910278,
33,618.817504883,-251.773468018,143.717697144,712.323120117,-253.506317139,104.126686096,
34,618.744934082,-251.740737915,143.610351563,712.247253418,-253.466476440,104.068550110,
35,618.669311523,-251.704544067,143.482589722,712.189880371,-253.447021484,104.027336121,
36,618.657470703,-251.688659668,143.438995361,712.170227051,-253.427871704,103.974189758,
37,618.677062988,-251.688720703,143.432250977,712.192382813,-253.427871704,103.946884155,
38,618.686218262,-251.692810059,143.398330688,712.218566895,-253.459426880,103.958114624,
39,618.705505371,-251.696899414,143.353378296,712.247741699,-253.494201660,103.953460693,
40,618.714294434,-251.713058472,143.322921753,712.272460938,-253.503570557,103.928016663,
41,618.722351074,-251.716125488,143.349075317,712.255798340,-253.507949829,103.922317505,
42,618.693176270,-251.717208862,143.321044922,712.243225098,-253.511657715,103.910995483,
43,618.693237305,-251.725677490,143.228256226,712.257995605,-253.521438599,103.861396790,
44,618.713500977,-251.744827271,143.154129028,712.279663086,-253.539047241,103.794395447,
45,618.709350586,-251.769271851,143.078125000,712.299560547,-253.559127808,103.770065308,
46,618.683227539,-251.787521362,142.974807739,712.291503906,-253.578094482,103.759887695,
47,618.612365723,-251.793563843,142.790420532,712.246276855,-253.560623169,103.678939819,
48,618.522949219,-251.789321899,142.594436646,712.186218262,-253.503280640,103.575386047,
49,618.426025391,-251.763198853,142.498855591,712.097900391,-253.439987183,103.534744263,
50,618.366638184,-251.739776611,142.585617065,712.032104492,-253.406692505,103.569381714,
51,618.371093750,-251.729110718,142.714416504,712.014465332,-253.430679321,103.620162964,
52,618.424133301,-251.747039795,142.781875610,712.075683594,-253.490539551,103.638534546,
53,618.461364746,-251.759979248,142.766754150,712.111694336,-253.545669556,103.606246948,
54,618.474731445,-251.773223877,142.728485107,712.134826660,-253.564865112,103.544784546,
55,618.497131348,-251.775390625,142.669372559,712.154541016,-253.569824219,103.473930359,
56,618.533752441,-251.779571533,142.618362427,712.183105469,-253.581909180,103.400810242,
57,618.570861816,-251.783782959,142.532211304,712.227478027,-253.605178833,103.316307068,
58,618.607604980,-251.792587280,142.442550659,712.271850586,-253.639892578,103.259353638,
59,618.667541504,-251.805877686,142.421752930,712.323364258,-253.673660278,103.226409912,
60,618.726074219,-251.819595337,142.455139160,712.385437012,-253.694412231,103.230056763,
61,618.756530762,-251.818496704,142.508163452,712.405212402,-253.695983887,103.267593384,
62,618.728942871,-251.800186157,142.546447754,712.393432617,-253.672546387,103.301856995,
63,618.704162598,-251.788574219,142.543151855,712.367919922,-253.656570435,103.322471619,
64,618.704101563,-251.797714233,142.539489746,712.368286133,-253.648330688,103.324386597,
65,618.690490723,-251.803146362,142.552749634,712.357910156,-253.660476685,103.345733643,
66,618.682312012,-251.800018311,142.582046509,712.343566895,-253.668334961,103.380424500,
67,618.651855469,-251.797790527,142.585464478,712.324340820,-253.679290771,103.406539917,
68,618.642944336,-251.805175781,142.600189209,712.323974609,-253.694915771,103.440322876,
69,618.635253906,-251.809707642,142.633605957,712.321105957,-253.700866699,103.476104736,
70,618.625976563,-251.805175781,142.673828125,712.315429688,-253.697906494,103.499053955,
71,618.616027832,-251.798538208,142.659881592,712.306701660,-253.696807861,103.496109009,
72,618.628723145,-251.800399780,142.584625244,712.326416016,-253.701812744,103.450408936,
73,618.646362305,-251.814025879,142.498596191,712.339477539,-253.710357666,103.383125305,
74,618.653625488,-251.827255249,142.458633423,712.367797852,-253.708114624,103.341026306,
75,618.674011230,-251.824234009,142.466735840,712.374450684,-253.701065063,103.311050415,
76,618.668823242,-251.821411133,142.397796631,712.374816895,-253.702651978,103.270835876,
77,618.663635254,-251.825546265,142.303390503,712.391052246,-253.710067749,103.233985901,
78,618.674438477,-251.836746216,142.319000244,712.398620605,-253.718582153,103.229553223,
79,618.694763184,-251.839065552,142.425827026,712.394409180,-253.722061157,103.287300110,
80,618.680541992,-251.821578979,142.502716064,712.375610352,-253.713394165,103.360603333,
81,618.666015625,-251.815322876,142.483612061,712.382568359,-253.687026978,103.381668091,
82,618.655029297,-251.821105957,142.475051880,712.370971680,-253.666564941,103.364837646,
83,618.633361816,-251.826477051,142.501541138,712.345764160,-253.669830322,103.381942749,
84,618.586853027,-251.815124512,142.535446167,712.301635742,-253.678237915,103.430114746,
85,618.557128906,-251.806182861,142.509078979,712.274902344,-253.664489746,103.418640137,
86,618.536437988,-251.814086914,142.400756836,712.262023926,-253.655639648,103.344848633,
87,618.555053711,-251.826980591,142.326965332,712.292724609,-253.668884277,103.299293518,
88,618.583984375,-251.829452515,142.352981567,712.308349609,-253.678344727,103.279685974,
89,618.615478516,-251.822677612,142.361938477,712.340637207,-253.684295654,103.264289856,
90,618.649047852,-251.826339722,142.282058716,712.372497559,-253.695785522,103.226135254,
91,618.691772461,-251.840576172,142.231018066,712.429687500,-253.701065063,103.199340820,
92,618.730712891,-251.848693848,142.300308228,712.459533691,-253.694396973,103.225914001,
93,618.736328125,-251.839248657,142.411056519,712.463928223,-253.675308228,103.298812866,
94,618.714355469,-251.828643799,142.442520142,712.441040039,-253.656936646,103.344940186,
95,618.672546387,-251.822875977,142.400390625,712.408691406,-253.631240845,103.338882446,
96,618.626220703,-251.822494507,142.372299194,712.364868164,-253.607452393,103.330497742,
97,618.585388184,-251.818588257,142.396240234,712.325195313,-253.598831177,103.349418640,
98,618.566894531,-251.819107056,142.436523438,712.304199219,-253.601181030,103.365692139,
99,618.561279297,-251.821685791,142.420166016,712.291320801,-253.604385376,103.359771729,
100,618.534851074,-251.812484741,142.379196167,712.278381348,-253.593444824,103.344093323,
101,618.542114258,-251.808395386,142.376785278,712.274963379,-253.578323364,103.308914185,
102,618.590026855,-251.816619873,142.426589966,712.307556152,-253.588958740,103.284446716,
103,618.651794434,-251.828109741,142.463241577,712.352478027,-253.621551514,103.286224365,
104,618.663879395,-251.825820923,142.463699341,712.374572754,-253.645523071,103.306877136,
105,618.643127441,-251.815887451,142.415954590,712.364013672,-253.636550903,103.303421021,
106,618.646667480,-251.817321777,142.405975342,712.355041504,-253.609481812,103.252998352,
107,618.639526367,-251.821807861,142.381210327,712.352172852,-253.595199585,103.220710754,
108,618.612182617,-251.818176270,142.358947754,712.353637695,-253.604598999,103.251060486,
