Number of frames: 1500
Frequency: 50
Units: mm

Frame,finger x,finger y,finger z,palm x,palm y,palm z
1,518.950134277,-321.414367676,397.263214111,575.493713379,-296.006439209,314.517791748,
2,523.700012207,-320.725433350,386.118041992,580.130310059,-294.572021484,303.641876221,
3,527.666198730,-319.568817139,375.296905518,584.494567871,-292.956634521,293.256378174,
4,531.365783691,-318.140441895,364.758209229,589.217590332,-291.125549316,283.260650635,
5,535.890930176,-316.797912598,354.821838379,594.190124512,-289.307922363,273.808654785,
6,540.164062500,-315.615051270,345.383605957,598.999023438,-287.521423340,265.022888184,
7,543.988952637,-314.203216553,336.249847412,603.498535156,-285.722869873,256.545532227,
8,547.814636230,-312.308685303,327.223480225,608.231628418,-283.694763184,248.053741455,
9,551.993835449,-310.023437500,318.445251465,613.084533691,-281.541625977,239.624206543,
10,555.869140625,-306.956695557,310.122741699,617.859985352,-279.408752441,231.532501221,
11,559.177062988,-303.563476563,301.764556885,622.354919434,-277.189758301,223.621368408,
12,562.821716309,-300.602722168,293.289184570,626.731506348,-274.590148926,215.558685303,
13,566.494934082,-298.414001465,284.569000244,631.016601563,-271.639099121,207.603317261,
14,569.262695313,-296.246276855,276.017303467,634.888183594,-268.755371094,200.236602783,
15,571.505859375,-293.569946289,268.357757568,638.090637207,-266.111633301,193.446838379,
16,573.529968262,-290.806060791,261.392517090,640.755554199,-263.485687256,187.074539185,
17,575.682250977,-288.000610352,254.922790527,643.368957520,-260.661468506,181.078170776,
18,577.859008789,-285.026672363,249.091018677,646.071166992,-257.901580811,175.741546631,
19,580.031433105,-282.440338135,244.289077759,648.552368164,-255.531951904,171.221984863,
20,582.156921387,-280.476654053,240.405700684,650.613647461,-253.431579590,167.339172363,
21,583.953430176,-278.241485596,236.989517212,652.369079590,-251.310150146,163.874053955,
22,585.150756836,-275.547027588,233.865509033,653.807739258,-249.191513062,160.836669922,
23,585.976562500,-273.098114014,231.308059692,654.891479492,-247.315750122,158.366729736,
24,586.706909180,-271.319244385,229.449920654,655.743591309,-245.810775757,156.516098022,
25,587.442260742,-269.850799561,228.131530762,656.473205566,-244.582336426,155.145492554,
26,588.259948730,-268.648071289,227.338333130,657.249084473,-243.596206665,154.238159180,
27,589.144104004,-267.702301025,227.134765625,657.983886719,-242.904663086,153.805801392,
28,590.142639160,-267.014831543,227.369384766,658.692871094,-242.369094849,153.697570801,
29,591.252258301,-266.491210938,227.731246948,659.450012207,-241.830673218,153.716949463,
30,592.295227051,-265.990509033,227.940628052,660.223815918,-241.277877808,153.694320679,
31,593.108215332,-265.407379150,227.904739380,661.001159668,-240.711563110,153.601913452,
32,593.812011719,-264.759521484,227.817428589,661.658874512,-240.097808838,153.455978394,
33,594.548828125,-264.091583252,227.949600220,662.211303711,-239.535308838,153.385574341,
34,595.212707520,-263.550048828,228.088851929,662.778198242,-239.103363037,153.394271851,
35,595.758728027,-263.159088135,228.028640747,663.403625488,-238.758636475,153.380950928,
36,596.324096680,-263.003784180,227.844573975,664.035766602,-238.474777222,153.304718018,
37,596.974243164,-263.007293701,227.809600830,664.648620605,-238.269683838,153.290939331,
38,597.469787598,-262.871185303,227.994812012,665.122619629,-238.123245239,153.448577881,
39,597.691162109,-262.674255371,228.305343628,665.418029785,-238.006134033,153.757278442,
40,597.800964355,-262.506530762,228.716949463,665.589050293,-237.948318481,154.187179565,
41,597.837341309,-262.589080811,229.332244873,665.602844238,-238.047027588,154.764404297,
42,597.648742676,-262.930389404,230.170852661,665.357238770,-238.353561401,155.570373535,
43,597.231750488,-263.475250244,231.290420532,664.955688477,-238.860000610,156.699935913,
44,596.758911133,-264.461975098,233.004821777,664.389404297,-239.693771362,158.346115112,
45,596.167907715,-266.113647461,235.560638428,663.606201172,-241.023818970,160.791305542,
46,595.398193359,-268.498535156,239.191436768,662.525451660,-242.794662476,164.223403931,
47,594.577026367,-271.304321289,244.321670532,660.962280273,-244.956741333,168.799041748,
48,593.589904785,-274.409606934,251.064514160,658.948303223,-247.540374756,174.676696777,
49,592.532104492,-277.901611328,259.134704590,656.625915527,-250.416427612,181.754318237,
50,591.333435059,-281.472534180,268.023803711,654.088134766,-253.284896851,189.749435425,
51,589.937072754,-285.067810059,277.443206787,651.423034668,-256.026336670,198.531234741,
52,588.219848633,-288.834564209,287.449981689,648.549621582,-258.707733154,208.096557617,
53,586.257324219,-292.220825195,298.247650146,645.516296387,-261.227050781,218.430648804,
54,584.297180176,-294.998870850,309.917236328,642.483459473,-263.558685303,229.424926758,
55,582.634521484,-297.410339355,322.234313965,639.581298828,-265.808288574,240.921371460,
56,580.892700195,-299.287200928,334.770996094,636.523071289,-267.801544189,252.546081543,
57,578.854675293,-300.982482910,346.980499268,633.421081543,-269.533355713,264.034332275,
58,576.714294434,-303.218505859,358.706451416,630.314086914,-271.135040283,275.334197998,
59,574.348449707,-305.484741211,370.058441162,627.166076660,-272.726104736,286.444641113,
60,571.815124512,-307.069671631,381.251556396,623.979858398,-274.319305420,297.260192871,
61,569.200378418,-308.687561035,391.915710449,620.953491211,-275.807678223,307.737457275,
62,566.850708008,-310.324432373,402.293914795,617.986022949,-277.177185059,317.869537354,
63,564.776062012,-311.399047852,412.439208984,615.106445313,-278.507965088,327.543701172,
64,562.992492676,-312.330444336,421.972290039,612.498718262,-279.825836182,336.590545654,
65,561.064514160,-313.247497559,430.517272949,610.152221680,-281.031890869,344.862182617,
66,558.843566895,-314.176635742,437.957977295,607.992797852,-281.950439453,352.320556641,
67,557.249328613,-315.286895752,444.635284424,606.048583984,-282.625274658,359.041564941,
68,555.978942871,-315.562072754,451.095977783,604.191223145,-283.243377686,365.100891113,
69,554.360473633,-315.399078369,456.713500977,602.289001465,-283.770660400,370.411560059,
70,552.943420410,-315.348571777,461.470458984,600.558715820,-284.189208984,374.892517090,
71,551.885681152,-315.765563965,465.394073486,599.131591797,-284.592041016,378.684020996,
72,550.965820313,-316.238342285,468.707885742,597.680297852,-284.956359863,381.850219727,
73,549.847351074,-316.719207764,471.335815430,596.207153320,-285.285949707,384.438751221,
74,548.615966797,-317.588195801,473.107177734,595.022277832,-285.625671387,386.528045654,
75,547.436523438,-318.728027344,474.357238770,593.985778809,-285.968566895,388.200164795,
76,545.891418457,-319.648010254,475.248809814,592.880310059,-286.357025146,389.608703613,
77,544.712280273,-320.272857666,476.199676514,591.900451660,-286.764160156,390.806365967,
78,543.600219727,-321.147094727,476.903350830,591.173889160,-287.169067383,391.984985352,
79,542.646728516,-321.992126465,477.805969238,590.306884766,-287.565155029,393.224426270,
80,541.617919922,-322.535614014,478.931945801,589.414428711,-288.000152588,394.553771973,
81,541.270812988,-323.112915039,480.326934814,588.784301758,-288.469970703,395.925628662,
82,541.258483887,-323.867950439,481.815032959,588.360595703,-288.973480225,397.391174316,
83,541.132507324,-324.174377441,483.489471436,587.971740723,-289.457946777,398.893707275,
84,540.706848145,-323.764892578,485.321350098,587.588500977,-289.790740967,400.416351318,
85,540.780334473,-322.902313232,487.612518311,587.257995605,-289.958099365,402.044036865,
86,541.592712402,-321.839721680,490.447845459,587.026184082,-290.084381104,403.869445801,
87,542.710083008,-320.837677002,493.225524902,587.041931152,-290.132263184,405.708770752,
88,543.601074219,-320.101409912,495.322601318,587.357910156,-289.998352051,407.347869873,
89,543.415954590,-320.111938477,495.856872559,587.804565430,-289.611022949,408.552825928,
90,542.943603516,-319.936035156,495.975799561,587.912414551,-289.086059570,409.166137695,
91,542.442687988,-319.655700684,496.037048340,587.768615723,-288.653839111,409.516387939,
92,541.776062012,-319.337982178,496.015502930,587.614990234,-288.366027832,409.752807617,
93,541.248046875,-319.529815674,495.884155273,587.530761719,-288.199584961,409.995544434,
94,541.216247559,-320.092224121,495.892883301,587.434143066,-288.193298340,410.303497314,
95,541.253234863,-320.695068359,495.892547607,587.430053711,-288.349792480,410.550231934,
96,541.375427246,-321.303985596,495.877197266,587.390319824,-288.566619873,410.654235840,
97,541.413391113,-321.743896484,495.890625000,587.154235840,-288.741668701,410.672698975,
98,541.345703125,-321.943908691,495.901397705,586.855041504,-288.824279785,410.636077881,
99,541.310119629,-321.886962891,495.952453613,586.737548828,-288.865478516,410.618469238,
100,541.224975586,-321.693298340,496.081695557,586.645874023,-288.864868164,410.712249756,
101,540.860778809,-321.335723877,496.232604980,586.365173340,-288.735778809,410.857208252,
102,540.720947266,-321.084808350,496.475830078,585.950317383,-288.551116943,410.964416504,
103,540.696594238,-320.944946289,496.723876953,585.737792969,-288.545471191,411.070800781,
104,540.673217773,-320.879364014,496.923309326,585.532470703,-288.695434570,411.102325439,
105,540.636657715,-320.871459961,497.035125732,585.295471191,-288.908935547,411.040069580,
106,540.571716309,-320.907989502,497.085937500,585.083251953,-289.121856689,410.942535400,
107,540.507751465,-320.945587158,497.127990723,584.880310059,-289.330139160,410.843261719,
108,540.309082031,-320.997589111,497.081939697,584.684814453,-289.467437744,410.745025635,
109,539.925842285,-321.049591064,496.993499756,584.533569336,-289.544982910,410.754455566,
110,539.370239258,-321.028564453,496.882415771,584.405578613,-289.630645752,410.838317871,
111,539.143615723,-321.103363037,496.744110107,584.196777344,-289.707427979,410.703765869,
112,539.114868164,-321.334075928,496.263000488,584.256103516,-289.867309570,410.173522949,
113,539.163757324,-321.815124512,495.077239990,584.653991699,-290.114471436,409.204315186,
114,539.328491211,-322.777465820,492.632202148,585.173217773,-290.279144287,407.281768799,
115,539.829772949,-323.960357666,488.970886230,585.953002930,-290.504119873,404.166259766,
116,540.954772949,-325.489685059,483.949066162,587.141113281,-290.904571533,399.637298584,
117,542.342102051,-327.264434814,477.275665283,588.721130371,-291.350463867,393.569000244,
118,543.745239258,-329.022094727,469.163543701,590.359252930,-291.682373047,386.122802734,
119,545.408264160,-330.350433350,460.233306885,591.948486328,-291.930938721,377.507781982,
120,548.013549805,-331.066497803,450.774749756,593.984375000,-292.138885498,367.684143066,
121,551.485107422,-331.013092041,440.540527344,596.918273926,-292.127227783,356.646423340,
122,554.590515137,-331.052276611,428.953125000,600.283081055,-291.647338867,345.013671875,
123,556.974975586,-331.232727051,416.439422607,603.498107910,-290.758605957,333.284057617,
124,559.614868164,-330.712219238,404.104858398,606.553955078,-289.574584961,321.428436279,
125,562.512939453,-329.132690430,392.244018555,610.149353027,-288.060516357,309.628723145,
126,565.019958496,-327.303070068,380.909027100,613.730285645,-286.313232422,298.494140625,
127,567.045288086,-325.226898193,370.512756348,616.610534668,-284.607055664,288.307037354,
128,568.689392090,-322.656005859,360.978820801,619.208435059,-282.896026611,278.851074219,
129,570.248962402,-319.844268799,351.834564209,622.053466797,-280.961425781,269.910766602,
130,571.813903809,-317.446044922,343.131256104,624.829162598,-279.033172607,261.649780273,
131,573.545654297,-315.830566406,334.993530273,627.161865234,-277.326934814,253.988891602,
132,574.899047852,-314.231719971,327.058197021,629.255676270,-275.649627686,246.628799438,
133,575.777709961,-312.294799805,319.180969238,631.568908691,-273.788787842,239.597915649,
134,576.576782227,-309.910888672,312.103118896,633.678588867,-271.975921631,233.084167480,
135,577.401489258,-307.278533936,306.034149170,635.464111328,-270.347839355,227.192047119,
136,578.514648438,-304.961334229,300.584075928,637.058837891,-268.860992432,221.755218506,
137,579.910461426,-303.119873047,295.171295166,638.864379883,-267.352508545,216.595260620,
138,581.322875977,-301.785827637,289.808135986,640.773864746,-265.889312744,211.737869263,
139,582.543945313,-300.596557617,284.773345947,642.507568359,-264.507873535,207.211471558,
140,583.607971191,-299.304992676,280.052032471,644.040466309,-263.129730225,202.947921753,
141,584.484375000,-297.656738281,275.479583740,645.479492188,-261.619262695,198.800659180,
142,585.303161621,-295.540466309,271.107727051,646.892150879,-259.961822510,194.752426147,
143,586.116455078,-293.158782959,267.039062500,648.224304199,-258.189971924,190.913146973,
