Number of frames: 250
Frequency: 50
Units: mm

Frame,finger x,finger y,finger z,palm x,palm y,palm z
1,622.010559082,-247.220703125,138.181976318,,,,
2,622.003173828,-247.216217041,138.106307983,,,,
3,622.006835938,-247.200317383,138.169372559,,,,
4,622.019775391,-247.186096191,138.163101196,,,,
5,622.015808105,-247.179931641,138.057922363,,,,
6,621.993835449,-247.179229736,137.924835205,,,,
7,621.970642090,-247.186416626,137.823959351,,,,
8,621.935913086,-247.190460205,137.787582397,,,,
9,621.881469727,-247.187759399,137.844055176,,,,
10,621.848144531,-247.179214478,137.991607666,,,,
11,621.814636230,-247.167892456,138.113693237,,,,
12,621.787475586,-247.163436890,138.159942627,,,,
13,621.793701172,-247.172225952,138.197967529,,,,
14,621.820922852,-247.175598145,138.211853027,,,,
15,621.849609375,-247.174880981,138.225387573,,,,
16,621.875427246,-247.177032471,138.193161011,,,,
17,621.914184570,-247.182510376,138.171310425,,,,
18,621.950927734,-247.189254761,138.148376465,,,,
19,621.960205078,-247.195739746,138.117126465,,,,
20,621.948303223,-247.198776245,138.114425659,,,,
21,621.934692383,-247.195053101,138.109909058,,,,
22,621.950988770,-247.194869995,138.091735840,,,,
23,621.969604492,-247.193222046,138.041503906,,,,
24,621.975646973,-247.193893433,137.977462769,,,,
25,621.980224609,-247.195953369,137.949569702,,,,
26,621.975646973,-247.194702148,137.979217529,,,,
27,621.966247559,-247.199188232,137.991424561,,,,
28,621.928894043,-247.203918457,137.979232788,,,,
29,621.880371094,-247.205581665,137.962387085,,,,
30,621.842468262,-247.203903198,137.966415405,,,,
31,621.805175781,-247.199829102,137.948364258,,,,
32,621.780578613,-247.197494507,137.936309814,,,,
33,621.757019043,-247.194183350,137.964981079,,,,
34,621.763916016,-247.196258545,137.985244751,,,,
35,621.793945313,-247.196990967,138.019592285,,,,
36,621.792724609,-247.196258545,138.018997192,,,,
37,621.762756348,-247.191619873,137.974166870,,,,
38,621.729797363,-247.189071655,137.904098511,,,,
39,621.712707520,-247.186019897,137.839141846,,,,
40,621.711059570,-247.187240601,137.841461182,,,,
41,621.713989258,-247.186325073,137.864639282,,,,
42,621.729187012,-247.181671143,137.903427124,,,,
43,621.741516113,-247.181869507,137.895706177,,,,
44,621.750976563,-247.184539795,137.868865967,,,,
45,621.750244141,-247.184982300,137.866806030,,,,
46,621.729614258,-247.185684204,137.830657959,,,,
47,621.716430664,-247.189819336,137.826828003,,,,
48,621.704467773,-247.197250366,137.845733643,,,,
49,621.713317871,-247.201141357,137.945343018,,,,
50,621.678771973,-247.200119019,138.063964844,,,,
51,621.642395020,-247.198654175,138.174087524,,,,
52,621.591369629,-247.194366455,138.205230713,,,,
53,621.551025391,-247.192459106,138.165374756,,,,
54,621.529968262,-247.199645996,138.135559082,,,,
55,621.499267578,-247.206192017,138.083648682,,,,
56,621.482421875,-247.214569092,137.989532471,,,,
57,621.457275391,-247.220016479,137.936614990,,,,
58,621.436462402,-247.220520020,137.939956665,,,,
59,621.436523438,-247.223052979,138.014068604,,,,
60,621.432617188,-247.230392456,138.100082397,,,,
61,621.431762695,-247.241424561,138.149276733,,,,
62,621.434509277,-247.253005981,138.168136597,,,,
63,621.433959961,-247.257217407,138.178085327,,,,
64,621.432800293,-247.256958008,138.173110962,,,,
65,621.453430176,-247.263885498,138.175796509,,,,
66,621.488830566,-247.275955200,138.194976807,,,,
67,621.501403809,-247.285034180,138.210342407,,,,
68,621.497802734,-247.283020020,138.204345703,,,,
69,621.485534668,-247.290374756,138.202575684,,,,
70,621.440856934,-247.300689697,138.198181152,,,,
71,621.384277344,-247.305847168,138.298889160,,,,
72,621.329956055,-247.309783936,138.359100342,,,,
73,621.274230957,-247.312423706,138.373535156,,,,
74,621.229125977,-247.313934326,138.334991455,,,,
75,621.187744141,-247.315689087,138.323501587,,,,
76,621.160583496,-247.314575195,138.314529419,,,,
77,621.168395996,-247.316406250,138.288696289,,,,
78,621.201904297,-247.324722290,138.213058472,,,,
79,621.220214844,-247.329940796,138.184707642,,,,
80,621.230468750,-247.328338623,138.249450684,,,,
81,621.234069824,-247.327529907,138.296951294,,,,
82,621.227050781,-247.330245972,138.308425903,,,,
83,621.214416504,-247.329376221,138.297866821,,,,
84,621.169189453,-247.325241089,138.311920166,,,,
85,621.134216309,-247.320816040,138.319061279,,,,
86,621.131347656,-247.319091797,138.293945313,,,,
87,621.140441895,-247.328826904,138.189407349,,,,
88,621.144653320,-247.336166382,138.085235596,,,,
89,621.124511719,-247.335769653,138.036773682,,,,
90,621.102233887,-247.331665039,138.024185181,,,,
91,621.085510254,-247.328918457,138.055068970,,,,
92,621.083435059,-247.329406738,138.084564209,,,,
93,621.071838379,-247.328353882,138.097381592,,,,
94,621.032104492,-247.324768066,138.110321045,,,,
95,621.036743164,-247.323303223,138.142120361,,,,
96,621.014099121,-247.321563721,138.078613281,,,,
97,620.993591309,-247.319671631,138.022354126,,,,
98,620.939025879,-247.317932129,137.967788696,,,,
99,620.905334473,-247.312118530,137.978820801,,,,
100,620.890930176,-247.314300537,137.956817627,,,,
101,620.900085449,-247.319778442,137.920745850,,,,
102,620.867431641,-247.321685791,137.889099121,,,,
103,620.822082520,-247.317398071,137.862548828,,,,
104,620.799621582,-247.312240601,137.835006714,,,,
105,620.786437988,-247.310882568,137.780960083,,,,
106,620.775024414,-247.307952881,137.732528687,,,,
107,620.726989746,-247.299255371,137.734832764,,,,
108,620.691467285,-247.293075562,137.774688721,,,,
109,620.680297852,-247.298980713,137.790771484,,,,
110,620.694396973,-247.309020996,137.763961792,,,,
111,620.686584473,-247.314575195,137.780593872,,,,
112,620.671630859,-247.313034058,137.870834351,,,,
113,620.670715332,-247.313232422,137.995315552,,,,
114,620.671569824,-247.321029663,138.073135376,,,,
115,620.669006348,-247.329299927,138.147613525,,,,
116,620.652709961,-247.329467773,138.192962646,,,,
117,620.620361328,-247.325317383,138.183410645,,,,
118,620.586059570,-247.321670532,138.152618408,,,,
119,620.539489746,-247.319152832,138.106475830,,,,
120,620.507873535,-247.319564819,138.083282471,,,,
121,620.499145508,-247.319229126,138.049194336,,,,
122,620.503356934,-247.320709229,137.968200684,,,,
123,620.524963379,-247.324829102,137.950317383,,,,
124,620.554565430,-247.326873779,138.012145996,,,,
125,620.576538086,-247.329238892,138.099731445,,,,
126,620.589660645,-247.326370239,138.123336792,,,,
127,620.606750488,-247.326477051,138.058441162,,,,
128,620.600952148,-247.326538086,138.018280029,,,,
129,620.597167969,-247.324844360,138.053710938,,,,
130,620.602539063,-247.322982788,138.166152954,,,,
131,620.622863770,-247.324234009,138.283004761,,,,
132,620.637939453,-247.325561523,138.338134766,,,,
133,620.616821289,-247.323242188,138.314056396,,,,
134,620.604919434,-247.319442749,138.283294678,,,,
135,620.614562988,-247.319152832,138.245223999,,,,
136,620.597351074,-247.319625854,138.175552368,,,,
137,620.578063965,-247.322616577,138.166748047,,,,
138,620.538330078,-247.319427490,138.192459106,,,,
139,620.484619141,-247.315307617,138.185333252,,,,
140,620.474853516,-247.314270020,138.174179077,,,,
141,620.465515137,-247.318557739,138.077499390,,,,
142,620.463378906,-247.322708130,138.010711670,,,,
143,620.449035645,-247.319839478,137.958999634,,,,
144,620.452819824,-247.313873291,137.867675781,,,,
145,620.491638184,-247.313125610,137.765563965,,,,
146,620.534118652,-247.313400269,137.659408569,,,,
147,620.541748047,-247.308715820,137.601287842,,,,
148,620.553222656,-247.295837402,137.609191895,,,,
149,620.584533691,-247.290161133,137.661956787,,,,
150,620.626281738,-247.295043945,137.752944946,,,,
151,620.665161133,-247.306381226,137.811874390,,,,
152,620.679138184,-247.310043335,137.877410889,,,,
153,620.681091309,-247.314880371,137.942947388,,,,
154,620.651794434,-247.312240601,138.018524170,,,,
155,620.603332520,-247.303192139,138.113174438,,,,
156,620.576965332,-247.300628662,138.138687134,,,,
157,620.570129395,-247.305938721,138.109939575,,,,
158,620.584960938,-247.307968140,138.086380005,,,,
159,620.577941895,-247.303649902,138.128463745,,,,
160,620.552185059,-247.296157837,138.189407349,,,,
161,620.534240723,-247.291305542,138.210769653,,,,
162,620.528747559,-247.282836914,138.186584473,,,,
163,620.551086426,-247.287429810,138.215240479,,,,
164,620.600585938,-247.295913696,138.274536133,,,,
165,620.631225586,-247.304580688,138.354766846,,,,
166,620.672485352,-247.313476563,138.400177002,,,,
167,620.711730957,-247.322601318,138.414840698,,,,
168,620.753417969,-247.335586548,138.414154053,,,,
169,620.769348145,-247.338912964,138.410598755,,,,
170,620.747619629,-247.344100952,138.373840332,,,,
171,620.700195313,-247.345886230,138.326461792,,,,
172,620.661499023,-247.343658447,138.307830811,,,,
173,620.622497559,-247.344650269,138.296951294,,,,
174,620.599670410,-247.346969604,138.274124146,,,,
175,620.572631836,-247.352996826,138.226669312,,,,
176,620.545776367,-247.356384277,138.196182251,,,,
177,620.553527832,-247.358932495,138.211685181,,,,
178,620.566955566,-247.360397339,138.191207886,,,,
179,620.563049316,-247.361755371,138.156433105,,,,
180,620.559875488,-247.361877441,138.083358765,,,,
181,620.547058105,-247.364227295,138.037200928,,,,
182,620.551879883,-247.366973877,138.000915527,,,,
183,620.537841797,-247.364547729,137.939224243,,,,
184,620.524291992,-247.362854004,137.853790283,,,,
185,620.517333984,-247.360061646,137.786026001,,,,
186,620.525939941,-247.364517212,137.629638672,,,,
187,620.518188477,-247.448272705,137.405929565,,,,
188,620.472778320,-248.094528198,137.093917847,,,,
189,620.212890625,-248.744369507,136.870086670,,,,
190,619.819091797,-250.014129639,137.559677124,,,,
191,619.570373535,-252.242507935,139.778930664,,,,
192,619.050415039,-255.656219482,143.354354858,,,,
193,618.081604004,-259.792114258,148.266448975,,,,
194,616.580688477,-264.779693604,155.316131592,,,,
195,614.207519531,-270.038330078,164.941299438,,,,
196,610.856445313,-275.802398682,177.390487671,,,,
197,606.812377930,-282.644165039,192.264404297,,,,
198,601.874084473,-289.981384277,208.716171265,,,,
199,595.978942871,-297.323760986,226.367630005,,,,
200,589.167358398,-304.337921143,244.534500122,,,,
201,581.404541016,-310.392120361,263.046295166,,,,
202,573.155639648,-315.202972412,282.643951416,,,,
203,565.160522461,-319.189514160,303.293518066,653.293395996,-294.646270752,251.267166138,
204,557.532104492,-322.616333008,323.818695068,643.745178223,-299.237670898,268.563659668,
205,550.450805664,-325.654815674,343.814514160,634.035705566,-303.004150391,284.922729492,
206,543.774291992,-328.293457031,362.685974121,624.416992188,-306.046569824,300.358215332,
207,537.657104492,-330.146759033,380.452545166,615.835998535,-308.694610596,315.517547607,
208,532.693176270,-331.520843506,397.541259766,608.503723145,-310.961486816,330.148529053,
209,528.634460449,-332.422760010,413.454284668,601.996948242,-312.692413330,343.526000977,
210,525.536437988,-333.218444824,427.852783203,596.492736816,-313.998809814,355.617889404,
211,523.663330078,-333.817382813,440.823944092,592.352600098,-315.091278076,366.593383789,
212,522.231079102,-334.247375488,451.681945801,589.270751953,-315.938110352,376.047821045,
213,520.827575684,-334.514648438,459.950073242,586.530944824,-316.347595215,383.307617188,
214,519.316101074,-334.468170166,466.105468750,583.954589844,-316.344543457,388.562805176,
215,517.592041016,-334.064727783,470.589752197,581.672241211,-316.094726563,392.518005371,
216,515.441040039,-333.453155518,473.627655029,579.588745117,-315.671386719,395.514953613,
217,513.089782715,-332.610504150,475.774749756,577.495422363,-315.113677979,397.776031494,
218,510.774810791,-331.494018555,477.607208252,575.257507324,-314.452728271,399.526428223,
219,508.875915527,-330.367370605,479.514526367,573.009338379,-313.786071777,401.053985596,
220,507.641143799,-329.687774658,481.612121582,571.257629395,-313.325775146,402.723907471,
221,507.026855469,-329.559600830,483.699768066,570.236389160,-313.191558838,404.543212891,
222,506.880096436,-329.713684082,485.745452881,569.649902344,-313.312500000,406.296081543,
223,507.109191895,-329.928192139,487.833343506,569.259765625,-313.568145752,407.924377441,
224,507.692810059,-330.279327393,489.882934570,569.074279785,-313.892364502,409.441772461,
225,508.414947510,-330.495269775,491.812316895,569.100830078,-314.236328125,410.848083496,
226,508.067504883,-331.106933594,491.968383789,569.406860352,-314.462371826,411.663360596,
227,507.946319580,-331.206481934,492.052612305,569.319030762,-314.670410156,411.688690186,
228,507.744323730,-330.999420166,492.149108887,568.947082520,-314.869506836,411.573364258,
229,507.653411865,-330.398193359,492.235687256,568.655639648,-315.045532227,411.296508789,
230,508.075469971,-330.056182861,491.909271240,568.787353516,-315.270874023,410.557922363,
231,508.867919922,-331.127929688,490.010314941,569.767517090,-315.575164795,408.904266357,
232,510.176666260,-332.800872803,486.851226807,571.477233887,-316.083496094,406.168792725,
233,512.071838379,-334.844421387,482.393127441,573.876159668,-316.806091309,402.255157471,
234,514.701416016,-337.170654297,476.363647461,577.133056641,-317.642425537,396.876770020,
235,518.146789551,-339.733245850,468.536102295,581.399230957,-318.474700928,389.788391113,
236,522.149536133,-342.547882080,458.807373047,586.488525391,-319.235961914,381.182128906,
237,526.446166992,-345.110687256,447.295318604,592.256103516,-319.851837158,371.129913330,
