Number of frames: 1500
Frequency: 500
Units: mm

Frame,finger x,finger y,finger z,thumb x,thumb y,thumb z
1,595.320678711,-190.999114990,153.631713867,613.063720703,-200.158020020,139.873367310,
2,595.324279785,-191.000808716,153.636123657,613.061279297,-200.159759521,139.877639771,
3,595.319091797,-191.002243042,153.636230469,613.059265137,-200.161697388,139.880767822,
4,595.320678711,-191.000473022,153.641204834,613.066040039,-200.165084839,139.882675171,
5,595.329040527,-191.000503540,153.637786865,613.065063477,-200.168228149,139.885131836,
6,595.333862305,-191.001159668,153.640808105,613.063842773,-200.170928955,139.885559082,
7,595.330261230,-191.002227783,153.645599365,613.064208984,-200.173065186,139.890274048,
8,595.317321777,-191.001281738,153.646041870,613.073181152,-200.173843384,139.894683838,
9,595.325439453,-191.003784180,153.649398804,613.074279785,-200.175552368,139.894531250,
10,595.330383301,-191.003219604,153.650741577,613.063903809,-200.179595947,139.900375366,
11,595.337890625,-191.001815796,153.653579712,613.066833496,-200.180709839,139.906311035,
12,595.339782715,-191.003662109,153.659454346,613.078979492,-200.180572510,139.909255981,
13,595.333923340,-191.003585815,153.661865234,613.077148438,-200.183837891,139.912216187,
14,595.340576172,-191.003524780,153.669006348,613.075927734,-200.188171387,139.918090820,
15,595.335266113,-191.006790161,153.672164917,613.077636719,-200.192169189,139.923797607,
16,595.338317871,-191.006225586,153.674301147,613.075256348,-200.192871094,139.924209595,
17,595.340942383,-191.007049561,153.677597046,613.075134277,-200.195526123,139.929550171,
18,595.330261230,-191.012298584,153.681793213,613.076232910,-200.201110840,139.937484741,
19,595.332031250,-191.012771606,153.685836792,613.079589844,-200.203094482,139.942184448,
20,595.326354980,-191.014053345,153.689346313,613.084167480,-200.204177856,139.947250366,
21,595.323730469,-191.015136719,153.690902710,613.080261230,-200.206253052,139.949310303,
22,595.342834473,-191.013870239,153.699295044,613.076721191,-200.209274292,139.953582764,
23,595.339721680,-191.019119263,153.698822021,613.084838867,-200.211761475,139.958221436,
24,595.333740234,-191.016921997,153.702041626,613.073974609,-200.217269897,139.957931519,
25,595.321228027,-191.019195557,153.699478149,613.071411133,-200.219726563,139.961410522,
26,595.332702637,-191.020553589,153.702957153,613.077209473,-200.219207764,139.964828491,
27,595.335449219,-191.021560669,153.705551147,613.082275391,-200.220840454,139.967254639,
28,595.335144043,-191.022842407,153.705886841,613.086059570,-200.226074219,139.969406128,
29,595.327941895,-191.023880005,153.706420898,613.080688477,-200.230514526,139.970886230,
30,595.322509766,-191.027740479,153.703887939,613.078979492,-200.232299805,139.967285156,
31,595.325683594,-191.027786255,153.700576782,613.078491211,-200.235000610,139.965209961,
32,595.338500977,-191.025314331,153.701782227,613.078674316,-200.237854004,139.965789795,
33,595.327026367,-191.026535034,153.697326660,613.074645996,-200.241134644,139.964462280,
34,595.324829102,-191.029632568,153.692794800,613.077209473,-200.243255615,139.963470459,
35,595.327697754,-191.032058716,153.688705444,613.086486816,-200.244689941,139.959487915,
36,595.329101563,-191.032348633,153.684097290,613.086242676,-200.247009277,139.955947876,
37,595.327819824,-191.034118652,153.678314209,613.085266113,-200.248016357,139.952224731,
38,595.321899414,-191.036972046,153.671737671,613.076782227,-200.252304077,139.949295044,
39,595.298339844,-191.038299561,153.665176392,613.072082520,-200.256240845,139.946929932,
40,595.309020996,-191.035842896,153.661102295,613.069946289,-200.257019043,139.939208984,
41,595.317993164,-191.039520264,153.652511597,613.060363770,-200.261032104,139.930389404,
42,595.316894531,-191.040664673,153.647506714,613.075866699,-200.262283325,139.926956177,
43,595.313354492,-191.041122437,153.639663696,613.084777832,-200.263412476,139.923416138,
44,595.313354492,-191.043655396,153.633224487,613.077148438,-200.266860962,139.917465210,
45,595.309143066,-191.043838501,153.620819092,613.074157715,-200.269561768,139.911331177,
46,595.309936523,-191.045959473,153.614013672,613.077453613,-200.272048950,139.903793335,
47,595.304504395,-191.045486450,153.602645874,613.081481934,-200.273544312,139.894760132,
48,595.312683105,-191.048278809,153.592330933,613.075683594,-200.277526855,139.887939453,
49,595.300231934,-191.053771973,153.584014893,613.069824219,-200.282302856,139.879089355,
50,595.295227051,-191.053695679,153.571945190,613.067138672,-200.284805298,139.871459961,
51,595.304443359,-191.051879883,153.566085815,613.060302734,-200.287460327,139.864593506,
52,595.286499023,-191.053710938,153.553359985,613.053710938,-200.290130615,139.856964111,
53,595.276855469,-191.059082031,153.543991089,613.060363770,-200.291793823,139.851242065,
54,595.285705566,-191.059906006,153.533935547,613.059082031,-200.293319702,139.840087891,
55,595.280761719,-191.061172485,153.519805908,613.046325684,-200.296310425,139.826599121,
56,595.267272949,-191.062393188,153.512115479,613.047241211,-200.297912598,139.820022583,
57,595.261779785,-191.063323975,153.501617432,613.039489746,-200.298492432,139.812515259,
58,595.261291504,-191.063980103,153.493118286,613.023437500,-200.300231934,139.800598145,
59,595.251831055,-191.066528320,153.481750488,613.014709473,-200.302536011,139.791839600,
60,595.234313965,-191.065963745,153.468475342,613.019775391,-200.301116943,139.785903931,
61,595.236816406,-191.066848755,153.460617065,613.021606445,-200.299346924,139.782135010,
62,595.220947266,-191.068344116,153.448028564,613.009155273,-200.300384521,139.771789551,
63,595.220275879,-191.068557739,153.440643311,612.995239258,-200.303070068,139.759063721,
64,595.209411621,-191.071777344,153.431991577,612.986755371,-200.303527832,139.750442505,
65,595.189941406,-191.074279785,153.418930054,612.988403320,-200.301467896,139.743835449,
66,595.185546875,-191.072463989,153.409927368,612.983642578,-200.302886963,139.735610962,
67,595.184997559,-191.071945190,153.398941040,612.958557129,-200.305480957,139.720825195,
68,595.171264648,-191.075485229,153.388931274,612.944702148,-200.304595947,139.711135864,
69,595.169494629,-191.077819824,153.374832153,612.951232910,-200.302307129,139.704971313,
70,595.172058105,-191.074203491,153.365554810,612.933166504,-200.301345825,139.691558838,
71,595.170593262,-191.070648193,153.356277466,612.926818848,-200.298690796,139.683700562,
72,595.145141602,-191.073211670,153.344009399,612.925048828,-200.298767090,139.676254272,
73,595.126831055,-191.075241089,153.332839966,612.906921387,-200.298721313,139.662002563,
74,595.113159180,-191.074005127,153.321228027,612.904174805,-200.295761108,139.653121948,
75,595.097839355,-191.073669434,153.308074951,612.885131836,-200.295791626,139.645523071,
76,595.095336914,-191.073745728,153.299621582,612.871459961,-200.295837402,139.634506226,
77,595.072387695,-191.074874878,153.286773682,612.884704590,-200.290359497,139.626525879,
78,595.062377930,-191.075973511,153.275680542,612.868896484,-200.288070679,139.617355347,
79,595.056091309,-191.074325562,153.265563965,612.845397949,-200.289596558,139.605850220,
80,595.058898926,-191.075408936,153.253295898,612.844116211,-200.288742065,139.596694946,
81,595.035888672,-191.076766968,153.242309570,612.835937500,-200.287063599,139.590393066,
82,595.028076172,-191.074432373,153.233337402,612.819152832,-200.284713745,139.579788208,
83,595.020935059,-191.073196411,153.221405029,612.809814453,-200.284072876,139.568283081,
84,595.008728027,-191.075973511,153.211517334,612.803710938,-200.282958984,139.560745239,
85,595.005737305,-191.074829102,153.197540283,612.793029785,-200.281982422,139.552474976,
86,594.997253418,-191.072097778,153.190124512,612.775207520,-200.283157349,139.540893555,
87,594.974731445,-191.075180054,153.175735474,612.769897461,-200.283813477,139.530319214,
88,594.969116211,-191.074966431,153.164886475,612.773742676,-200.281906128,139.524307251,
89,594.945495605,-191.076065063,153.153381348,612.752624512,-200.283828735,139.514938354,
90,594.935546875,-191.078521729,153.140045166,612.736572266,-200.285980225,139.504379272,
91,594.925415039,-191.080947876,153.130249023,612.734130859,-200.283233643,139.495864868,
92,594.921752930,-191.079345703,153.122558594,612.713256836,-200.285705566,139.484542847,
93,594.917785645,-191.080093384,153.113296509,612.709472656,-200.287078857,139.477096558,
94,594.905212402,-191.080062866,153.100753784,612.708862305,-200.284896851,139.472061157,
95,594.892272949,-191.081909180,153.090347290,612.687438965,-200.286911011,139.463699341,
96,594.887390137,-191.082687378,153.078811646,612.690673828,-200.288146973,139.458358765,
97,594.881042480,-191.084640503,153.071792603,612.687438965,-200.290786743,139.450637817,
98,594.869384766,-191.086593628,153.064056396,612.664916992,-200.292175293,139.440658569,
99,594.852783203,-191.087371826,153.052169800,612.655273438,-200.292739868,139.433441162,
100,594.843872070,-191.085311890,153.040008545,612.642761230,-200.294891357,139.422882080,
101,594.838073730,-191.090393066,153.029525757,612.630859375,-200.297210693,139.413085938,
102,594.825622559,-191.092117310,153.019699097,612.625549316,-200.299667358,139.406646729,
103,594.814453125,-191.091735840,153.009536743,612.618652344,-200.300460815,139.400878906,
104,594.796569824,-191.094558716,152.998916626,612.612121582,-200.303237915,139.393615723,
105,594.781127930,-191.098129272,152.985977173,612.603820801,-200.304733276,139.384094238,
106,594.776550293,-191.098922729,152.977355957,612.586608887,-200.306259155,139.372619629,
107,594.772888184,-191.098876953,152.965164185,612.576293945,-200.306503296,139.366363525,
108,594.766723633,-191.097930908,152.956527710,612.580932617,-200.307586670,139.360763550,
109,594.759948730,-191.101577759,152.948654175,612.557006836,-200.312194824,139.350616455,
110,594.747436523,-191.104415894,152.938583374,612.536926270,-200.312728882,139.344421387,
111,594.735961914,-191.103912354,152.928451538,612.544677734,-200.313323975,139.340057373,
112,594.708740234,-191.107635498,152.917800903,612.537048340,-200.316268921,139.332946777,
113,594.693847656,-191.112472534,152.908493042,612.512390137,-200.317886353,139.322525024,
114,594.696289063,-191.110992432,152.899597168,612.499694824,-200.319198608,139.313095093,
115,594.674621582,-191.111694336,152.886550903,612.494445801,-200.321563721,139.306427002,
116,594.664428711,-191.114151001,152.878051758,612.485900879,-200.323638916,139.298965454,
117,594.650451660,-191.115844727,152.866226196,612.478820801,-200.323669434,139.292770386,
118,594.634643555,-191.118438721,152.856048584,612.460876465,-200.324691772,139.282791138,
119,594.624206543,-191.118560791,152.844787598,612.447875977,-200.325683594,139.273239136,
120,594.627380371,-191.117477417,152.837646484,612.436889648,-200.324691772,139.265396118,
121,594.617919922,-191.119445801,152.828735352,612.421325684,-200.326324463,139.254531860,
122,594.590148926,-191.122344971,152.820953369,612.408996582,-200.326553345,139.245559692,
123,594.571777344,-191.123291016,152.807891846,612.406005859,-200.322769165,139.238189697,
124,594.553283691,-191.125564575,152.796188354,612.385620117,-200.324539185,139.231216431,
125,594.551330566,-191.124023438,152.787857056,612.363464355,-200.325637817,139.222808838,
126,594.544677734,-191.124389648,152.781921387,612.359008789,-200.322387695,139.210021973,
127,594.526672363,-191.124191284,152.773391724,612.348999023,-200.321365356,139.204376221,
128,594.506774902,-191.124526978,152.761108398,612.334350586,-200.321487427,139.196350098,
129,594.492553711,-191.125793457,152.747711182,612.323303223,-200.320587158,139.185394287,
130,594.481323242,-191.126266479,152.742324829,612.307434082,-200.318847656,139.179595947,
131,594.472045898,-191.124893188,152.733154297,612.293823242,-200.318710327,139.172363281,
132,594.440490723,-191.129318237,152.720031738,612.284423828,-200.317123413,139.163894653,
133,594.431701660,-191.130416870,152.711288452,612.266784668,-200.318099976,139.154449463,
134,594.420654297,-191.130783081,152.700973511,612.264282227,-200.318283081,139.150070190,
135,594.411376953,-191.129760742,152.694396973,612.250976563,-200.316787720,139.143280029,
136,594.385131836,-191.131134033,152.683013916,612.234008789,-200.315795898,139.134658813,
137,594.381042480,-191.131118774,152.673400879,612.226501465,-200.317214966,139.126434326,
138,594.367309570,-191.131301880,152.663040161,612.205932617,-200.319107056,139.117004395,
139,594.360534668,-191.131637573,152.649246216,612.198913574,-200.316360474,139.112182617,
140,594.346374512,-191.131546021,152.640441895,612.186889648,-200.315109253,139.102127075,
141,594.325500488,-191.132339478,152.627883911,612.173706055,-200.318817139,139.090148926,
142,594.321960449,-191.132751465,152.615356445,612.153320313,-200.319854736,139.079452515,
143,594.308898926,-191.131546021,152.602157593,612.139892578,-200.317550659,139.067428589,
144,594.296691895,-191.129028320,152.589508057,612.139770508,-200.316818237,139.058319092,
145,594.286865234,-191.128189087,152.578552246,612.126159668,-200.318374634,139.051086426,
146,594.258605957,-191.130752563,152.563110352,612.109375000,-200.320892334,139.039489746,
147,594.243164063,-191.132553101,152.550048828,612.089965820,-200.322143555,139.023162842,
148,594.233886719,-191.130645752,152.535079956,612.075927734,-200.319793701,139.011779785,
149,594.221496582,-191.130966187,152.524719238,612.067199707,-200.318313599,139.001541138,
150,594.210693359,-191.130584717,152.513015747,612.047729492,-200.317642212,138.990112305,
151,594.206176758,-191.126678467,152.498931885,612.035583496,-200.316329956,138.982299805,
152,594.185791016,-191.126434326,152.484283447,612.025878906,-200.316482544,138.969833374,
153,594.170043945,-191.127914429,152.470733643,612.015441895,-200.314239502,138.958999634,
