Number of frames: 1500
Frequency: 500
Units: mm

Frame,finger x,finger y,finger z,thumb x,thumb y,thumb z
1,610.245727539,-206.497192383,153.403030396,618.938659668,-212.239532471,139.040802002,
2,610.244140625,-206.496719360,153.405899048,618.939147949,-212.238037109,139.042510986,
3,610.237365723,-206.496551514,153.409591675,618.940368652,-212.237670898,139.044921875,
4,610.238891602,-206.496688843,153.411926270,618.940307617,-212.238494873,139.047531128,
5,610.235656738,-206.496109009,153.413528442,618.935546875,-212.241043091,139.046554565,
6,610.230468750,-206.494628906,153.414535522,618.935241699,-212.240066528,139.050125122,
7,610.233215332,-206.495864868,153.417846680,618.937927246,-212.239959717,139.055770874,
8,610.242370605,-206.495498657,153.419692993,618.937377930,-212.239303589,139.058181763,
9,610.251220703,-206.493606567,153.422164917,618.932983398,-212.238021851,139.059829712,
10,610.248107910,-206.494781494,153.422576904,618.927551270,-212.240142822,139.059585571,
11,610.233459473,-206.494155884,153.422729492,618.933898926,-212.240600586,139.060791016,
12,610.236450195,-206.494628906,153.425140381,618.938781738,-212.238845825,139.066467285,
13,610.237915039,-206.494277954,153.426940918,618.931274414,-212.239013672,139.068405151,
14,610.242065430,-206.493255615,153.428375244,618.932434082,-212.239227295,139.067825317,
15,610.235595703,-206.492782593,153.429382324,618.942626953,-212.238845825,139.071487427,
16,610.242553711,-206.491546631,153.428787231,618.942565918,-212.240356445,139.071853638,
17,610.236999512,-206.494155884,153.433044434,618.937133789,-212.240188599,139.070968628,
18,610.236450195,-206.494201660,153.433578491,618.938110352,-212.240158081,139.072647095,
19,610.230712891,-206.495712280,153.432586670,618.940490723,-212.239685059,139.073455811,
20,610.241943359,-206.493347168,153.435501099,618.941650391,-212.238922119,139.075073242,
21,610.232360840,-206.493148804,153.435180664,618.941101074,-212.240066528,139.077667236,
22,610.232849121,-206.491836548,153.436599731,618.933532715,-212.239654541,139.079467773,
23,610.238037109,-206.490661621,153.438507080,618.936401367,-212.238555908,139.079193115,
24,610.238891602,-206.491668701,153.440963745,618.940063477,-212.238739014,139.077682495,
25,610.242065430,-206.490188599,153.443161011,618.933349609,-212.238601685,139.079483032,
