Number of frames: 250
Frequency: 50
Units: mm

Frame,finger x,finger y,finger z,palm x,palm y,palm z
1,624.533630371,-240.436111450,134.493164063,719.922119141,-240.037521362,93.994544983,
2,624.440246582,-240.396392822,134.360763550,719.823608398,-239.923797607,93.903991699,
3,624.353454590,-240.351409912,134.272598267,719.707275391,-239.793518066,93.810440063,
4,624.255371094,-240.300140381,134.146316528,719.556213379,-239.758926392,93.890373230,
5,624.153564453,-240.256759644,133.970062256,719.411193848,-239.705200195,94.012786865,
6,624.071411133,-240.255310059,133.778503418,719.355529785,-239.532501221,94.000335693,
7,624.016418457,-240.281890869,133.735321045,719.407287598,-239.381347656,93.831954956,
8,624.226196289,-240.342315674,134.165679932,719.667053223,-239.435272217,93.622764587,
9,624.509887695,-240.408843994,134.533721924,719.946228027,-239.695037842,93.632499695,
10,624.689270020,-240.457305908,134.622390747,720.108825684,-239.959640503,93.854118347,
11,624.777832031,-240.451705933,134.692733765,720.181213379,-240.031402588,93.958007813,
12,624.764404297,-240.415496826,134.664962769,720.141784668,-239.973052979,94.012229919,
13,624.610107422,-240.352432251,134.435714722,719.923217773,-239.856124878,94.114952087,
14,624.441467285,-240.276519775,134.153793335,719.702880859,-239.698745728,94.127967834,
15,624.356323242,-240.244476318,133.992782593,719.600280762,-239.601760864,94.004013062,
16,624.397705078,-240.250259399,134.026153564,719.600341797,-239.682128906,93.924255371,
17,624.472961426,-240.261688232,134.198410034,719.611633301,-239.827438354,94.028007507,
18,624.522094727,-240.269882202,134.360687256,719.659729004,-239.833999634,94.154968262,
19,624.501403809,-240.273010254,134.420593262,719.637329102,-239.761245728,94.264457703,
20,624.420959473,-240.278610229,134.375015259,719.588684082,-239.669754028,94.262916565,
21,624.347900391,-240.289871216,134.290283203,719.567565918,-239.578170776,94.163696289,
22,624.313903809,-240.307266235,134.283874512,719.627441406,-239.535400391,94.034072876,
23,624.385131836,-240.331054688,134.401321411,719.728271484,-239.622039795,93.947822571,
24,624.523437500,-240.364334106,134.496109009,719.856445313,-239.785644531,94.012985229,
25,624.566894531,-240.369354248,134.488861084,719.885131836,-239.823165894,94.147811890,
26,624.498901367,-240.351501465,134.421707153,719.827331543,-239.655105591,94.192466736,
27,624.489379883,-240.327774048,134.492477417,719.826782227,-239.454910278,94.082435608,
28,624.529418945,-240.290466309,134.581405640,719.854248047,-239.409500122,94.050209045,
29,624.514282227,-240.262969971,134.587249756,719.827758789,-239.478439331,94.151336670,
30,624.447570801,-240.238693237,134.612899780,719.766967773,-239.488342285,94.292137146,
31,624.467712402,-240.219223022,134.800445557,719.769348145,-239.404190063,94.353012085,
32,624.559814453,-240.193267822,135.042053223,719.809997559,-239.317764282,94.383934021,
33,624.620422363,-240.107116699,135.218170166,719.846374512,-239.275192261,94.445442200,
34,624.594299316,-239.493911743,135.187210083,719.792297363,-239.253128052,94.598205566,
35,624.425354004,-239.044601440,135.133224487,719.659423828,-239.173217773,94.756217957,
36,624.364868164,-239.050537109,135.136322021,719.594665527,-239.083953857,94.791267395,
37,624.317565918,-239.080123901,135.079895020,719.567749023,-239.066894531,94.761894226,
38,624.253112793,-239.169723511,134.943954468,719.548095703,-239.083938599,94.731323242,
39,624.236511230,-239.267608643,134.848297119,719.565307617,-239.071212769,94.655441284,
40,624.233947754,-239.571868896,134.741195679,719.598144531,-239.047851563,94.534645081,
41,624.282470703,-240.382110596,134.736358643,719.698425293,-239.028549194,94.348541260,
42,624.358154297,-241.504333496,134.907882690,719.828735352,-239.007278442,94.189590454,
43,624.552429199,-242.769699097,135.305099487,719.941650391,-238.987594604,94.056182861,
44,624.681091309,-243.771606445,135.465347290,719.992858887,-239.015151978,93.933097839,
45,624.726562500,-243.949783325,135.398422241,719.978759766,-239.071716309,93.851043701,
46,624.635131836,-244.037185669,135.223770142,719.875549316,-239.055618286,93.768714905,
47,624.556457520,-244.195541382,135.178939819,719.771179199,-238.983764648,93.653701782,
48,624.481933594,-244.217926025,135.150054932,719.695678711,-238.956314087,93.571624756,
49,624.473571777,-244.208786011,135.081283569,719.690551758,-239.000030518,93.501068115,
50,624.603210449,-244.196762085,135.034637451,719.811340332,-239.077117920,93.422798157,
51,624.810058594,-244.183258057,135.062500000,719.984497070,-239.140716553,93.336883545,
52,624.969116211,-244.161087036,135.102554321,720.134155273,-239.178558350,93.314804077,
53,625.043151855,-244.175659180,135.147872925,720.208068848,-239.179473877,93.365127563,
54,625.073852539,-244.220855713,135.273147583,720.232788086,-239.124481201,93.439155579,
55,625.083557129,-244.247253418,135.360290527,720.238220215,-239.062423706,93.534873962,
56,625.100036621,-244.256088257,135.495452881,720.270446777,-239.023071289,93.597000122,
57,625.124694824,-244.257324219,135.596878052,720.281677246,-239.055130005,93.670845032,
58,625.120300293,-244.229751587,135.562088013,720.263488770,-239.135101318,93.818008423,
59,625.140136719,-244.184600830,135.563415527,720.238525391,-239.190353394,93.849922180,
60,625.131896973,-244.131774902,135.526489258,720.175415039,-239.232528687,93.875503540,
61,624.985839844,-244.048599243,135.278030396,720.035339355,-239.165145874,93.969772339,
62,624.858947754,-243.976440430,135.107818604,719.948547363,-239.002517700,93.835159302,
63,624.909118652,-243.951477051,135.182785034,720.043823242,-238.984558105,93.562866211,
64,624.960693359,-243.975326538,135.230133057,720.119995117,-239.123535156,93.495704651,
65,624.926025391,-244.003234863,135.197357178,720.116088867,-239.210647583,93.567268372,
66,624.897583008,-244.031753540,135.129547119,720.117431641,-239.207153320,93.536766052,
67,624.985046387,-244.068572998,135.181686401,720.185729980,-239.212402344,93.357246399,
68,625.013122559,-244.074783325,135.128753662,720.228637695,-239.251922607,93.318778992,
69,624.984130859,-244.049606323,135.049804688,720.227111816,-239.281326294,93.379318237,
70,625.027526855,-244.029754639,135.066680908,720.252441406,-239.273178101,93.398490906,
71,625.056457520,-244.020874023,134.991882324,720.269042969,-239.267227173,93.472206116,
72,625.000732422,-244.016876221,134.777160645,720.175231934,-239.266479492,93.575996399,
73,624.852172852,-243.989166260,134.500259399,719.980224609,-239.134628296,93.651924133,
74,624.621398926,-243.959335327,134.288085938,719.769958496,-238.875640869,93.536651611,
75,624.445800781,-243.943771362,134.268493652,719.666870117,-238.693405151,93.376602173,
76,624.462768555,-243.951904297,134.393096924,719.742736816,-238.774337769,93.278594971,
77,624.753479004,-244.009994507,134.671005249,720.058776855,-239.102096558,93.177841187,
78,625.083801270,-244.056808472,134.925369263,720.324340820,-239.481185913,93.210433960,
79,625.321899414,-244.060531616,135.106979370,720.531066895,-239.727005005,93.236671448,
80,625.371520996,-244.006591797,135.130355835,720.539489746,-239.866149902,93.331916809,
81,625.236267090,-243.896224976,134.946426392,720.365661621,-239.888656616,93.495834351,
82,624.997924805,-243.612289429,134.667190552,720.024353027,-239.754440308,93.596450806,
83,624.701782227,-242.645111084,134.354507446,719.696655273,-239.484130859,93.563613892,
84,624.473510742,-241.970870972,134.130828857,719.533996582,-239.123397827,93.325744629,
85,624.365844727,-241.992218018,134.096435547,719.515319824,-238.979705811,93.140190125,
86,624.449340820,-242.048706055,134.226730347,719.652404785,-239.142150879,93.200927734,
87,624.549438477,-242.113265991,134.336090088,719.799743652,-239.394241333,93.323013306,
88,624.734802246,-242.220458984,134.470169067,719.994445801,-239.591384888,93.285041809,
89,624.905944824,-242.330261230,134.611633301,720.128540039,-239.721755981,93.212501526,
90,624.941040039,-242.337509155,134.584320068,720.159423828,-239.803634644,93.297851563,
91,624.839721680,-242.280120850,134.381011963,720.006408691,-239.776748657,93.462425232,
92,624.668640137,-242.221267700,134.109848022,719.799377441,-239.617828369,93.509719849,
93,624.529541016,-242.157714844,133.912109375,719.625915527,-239.435028076,93.450347900,
94,624.438781738,-242.122436523,133.802062988,719.520507813,-239.343292236,93.416519165,
95,624.433044434,-242.113220215,133.790603638,,,,
96,624.467407227,-242.125381470,133.806198120,,,,
97,624.587524414,-242.174118042,133.964813232,,,,
98,624.785888672,-242.220077515,134.272232056,719.902160645,-239.406570435,93.254493713,
99,624.909729004,-242.253662109,134.474746704,720.008544922,-239.399475098,93.345474243,
100,624.840209961,-242.256607056,134.467910767,719.983520508,-239.234207153,93.403396606,
101,624.724731445,-242.258590698,134.392074585,719.937377930,-239.089965820,93.337989807,
102,624.652099609,-242.256607056,134.340530396,719.902404785,-239.067214966,93.240180969,
103,624.564758301,-242.248428345,134.267364502,719.846862793,-239.112976074,93.232200623,
104,624.499328613,-242.246032715,134.153274536,719.804870605,-239.107192993,93.211097717,
105,624.483032227,-242.245590210,134.019897461,719.819946289,-239.047958374,93.122604370,
106,624.564941406,-242.255950928,134.007980347,719.926574707,-239.034622192,92.984558105,
107,624.759643555,-242.256866455,134.169021606,720.073303223,-239.115264893,92.945098877,
108,624.938049316,-242.243286133,134.369796753,720.200866699,-239.241165161,93.040809631,
109,625.096557617,-242.236480713,134.571868896,720.324462891,-239.379135132,93.226737976,
110,625.179504395,-242.217514038,134.697998047,720.347900391,-239.530258179,93.470878601,
111,625.127197266,-242.182571411,134.635971069,720.175720215,-239.615951538,93.746177673,
112,624.899719238,-242.121566772,134.355178833,719.933654785,-239.446304321,93.833770752,
113,624.601745605,-242.075576782,133.994247437,719.718139648,-239.147659302,93.613182068,
114,624.456176758,-242.067062378,133.848571777,719.617797852,-238.991561890,93.349838257,
115,624.504211426,-242.107589722,133.903579712,719.735351563,-239.080963135,93.222099304,
116,624.647094727,-242.155517578,134.028442383,719.900329590,-239.316833496,93.250854492,
117,624.747863770,-242.205245972,134.157989502,720.060119629,-239.501861572,93.348045349,
118,624.801269531,-242.247009277,134.249603271,720.169189453,-239.567779541,93.406082153,
119,624.821105957,-242.266296387,134.251174927,720.185546875,-239.550613403,93.422523499,
120,624.795715332,-242.262268066,134.140457153,720.138793945,-239.486572266,93.381278992,
121,624.779052734,-242.247573853,133.993194580,720.106689453,-239.437835693,93.266479492,
122,624.737365723,-242.218399048,133.900253296,720.049865723,-239.467559814,93.204132080,
123,624.749694824,-242.183181763,133.890045166,720.000793457,-239.596740723,93.268615723,
124,624.669921875,-242.138595581,133.812057495,719.845336914,-239.753723145,93.536140442,
125,624.487243652,-242.091430664,133.639968872,,,,
126,624.292785645,-242.075592041,133.453887939,,,,
127,624.158996582,-242.087127686,133.293075562,,,,
128,624.129150391,-242.123092651,133.299163818,,,,
129,624.213073730,-242.186294556,133.426254272,,,,
130,624.298034668,-242.252975464,133.564208984,,,,
131,624.315185547,-242.306213379,133.600280762,719.580688477,-239.674102783,93.106323242,
132,624.246215820,-242.326187134,133.508712769,719.581665039,-239.586715698,93.119529724,
133,624.214355469,-242.326812744,133.430252075,719.590820313,-239.467941284,93.035255432,
134,624.213500977,-242.336349487,133.352188110,719.620849609,-239.407150269,92.909843445,
135,624.234436035,-242.343093872,133.296661377,719.650329590,-239.429534912,92.863059998,
136,624.308105469,-242.324844360,133.276107788,719.721130371,-239.501861572,92.874588013,
137,624.443481445,-242.294479370,133.360427856,719.823425293,-239.651641846,92.840812683,
138,624.540771484,-242.278198242,133.414276123,719.881164551,-239.933120728,92.948020935,
139,624.477416992,-242.242858887,133.372421265,719.751953125,-240.154693604,93.204277039,
140,624.329040527,-242.169708252,133.281921387,,,,
141,624.187438965,-242.088256836,133.220840454,,,,
142,624.059448242,-242.037002563,133.145141602,,,,
143,624.009582520,-242.027404785,133.209228516,,,,
144,624.144470215,-242.073318481,133.473510742,,,,
145,624.351867676,-242.131530762,133.774871826,719.705749512,-239.846832275,93.215835571,
146,624.524902344,-242.201492310,133.971618652,719.927551270,-240.009628296,93.237365723,
147,624.577392578,-242.243576050,134.009887695,720.007995605,-240.009857178,93.282264709,
148,624.462585449,-242.245101929,133.861968994,719.893188477,-239.822448730,93.303901672,
149,624.359680176,-242.228424072,133.755233765,719.818298340,-239.547622681,93.185577393,
150,624.365051270,-242.223617554,133.663299561,719.829345703,-239.416564941,93.035720825,
151,624.429565430,-242.223587036,133.577758789,719.873718262,-239.463897705,92.981338501,
152,624.519470215,-242.225311279,133.564239502,719.951904297,-239.614624023,92.984939575,
153,624.582275391,-242.220046997,133.551467896,719.998596191,-239.781784058,93.005546570,
154,624.634399414,-242.199478149,133.557739258,720.009399414,-239.916549683,93.051185608,
155,624.612304688,-242.161590576,133.534622192,719.901184082,-240.028411865,93.123527527,
156,624.479675293,-242.113327026,133.446044922,719.669799805,-240.029998779,93.348052979,
157,624.213195801,-242.054946899,133.095352173,,,,
158,623.902282715,-242.024505615,132.602859497,,,,
159,623.739196777,-242.058578491,132.307830811,,,,
160,623.813232422,-242.126770020,132.343963623,,,,
161,624.021850586,-242.195159912,132.528289795,,,,
162,624.251647949,-242.252563477,132.698303223,719.576354980,-239.900024414,92.446784973,
163,624.363586426,-242.303054810,132.763656616,719.712829590,-239.957641602,92.484466553,
164,624.391418457,-242.326538086,132.780502319,719.746948242,-239.866668701,92.462104797,
165,624.344543457,-242.310165405,132.727401733,719.667907715,-239.688903809,92.455070496,
166,624.192321777,-242.284713745,132.547332764,719.551452637,-239.529144287,92.447013855,
167,624.132751465,-242.291549683,132.476623535,719.496093750,-239.487304688,92.380294800,
168,624.098327637,-242.315841675,132.409072876,719.489135742,-239.561920166,92.431510925,
169,623.991638184,-242.319946289,132.335983276,719.454406738,-239.603576660,92.521057129,
170,624.037536621,-242.347976685,132.464157104,719.544494629,-239.594284058,92.453826904,
171,624.137573242,-242.384765625,132.583801270,719.695373535,-239.621429443,92.470504761,
172,624.105102539,-242.376617432,132.484283447,719.722534180,-239.651184082,92.572586060,
173,624.022460938,-242.320083618,132.387939453,719.692504883,-239.638244629,92.562843323,
174,624.024719238,-242.271865845,132.389099121,719.666687012,-239.597717285,92.453666687,
175,624.130249023,-242.242019653,132.521377563,719.770202637,-239.612075806,92.266929626,
176,624.244079590,-242.220657349,132.599487305,719.843261719,-239.856170654,92.306724548,
177,624.217468262,-242.175033569,132.529647827,719.702941895,-240.072647095,92.592163086,
178,624.080139160,-242.112243652,132.381317139,719.539367676,-239.928771973,92.673332214,
179,624.017089844,-242.079025269,132.451400757,719.492553711,-239.648391724,92.512664795,
