Number of frames: 250
Frequency: 50
Units: mm

Frame,finger x,finger y,finger z,palm x,palm y,palm z
1,624.792846680,-256.007629395,140.734741211,715.582885742,-263.471008301,95.025657654,
2,624.771911621,-256.006713867,140.645416260,715.585327148,-263.473999023,94.988876343,
3,624.745544434,-256.000183105,140.570785522,715.588989258,-263.482604980,94.969978333,
4,624.772888184,-255.996185303,140.548675537,715.601989746,-263.489074707,94.922348022,
5,624.791076660,-256.003021240,140.484176636,715.636047363,-263.496978760,94.855209351,
6,624.799072266,-256.005340576,140.403762817,715.669128418,-263.507598877,94.819702148,
7,624.799438477,-256.007019043,140.384017944,715.666503906,-263.501403809,94.816139221,
8,624.805236816,-256.004943848,140.419616699,715.672302246,-263.498901367,94.827140808,
9,624.832031250,-256.010192871,140.403381348,715.702209473,-263.515289307,94.821899414,
10,624.857971191,-256.013397217,140.382888794,715.728271484,-263.534790039,94.797134399,
11,624.895324707,-256.023284912,140.408706665,715.747741699,-263.533935547,94.784912109,
12,624.895385742,-256.022369385,140.463348389,715.735961914,-263.519622803,94.820655823,
13,624.865234375,-256.017364502,140.489913940,715.728271484,-263.506622314,94.880104065,
14,624.848266602,-256.009887695,140.519836426,715.708251953,-263.496978760,94.914962769,
15,624.825195313,-256.010742188,140.550155640,715.675109863,-263.488677979,94.932052612,
16,624.784606934,-256.007232666,140.578964233,715.639221191,-263.483093262,94.956153870,
17,624.754821777,-256.007476807,140.567337036,715.606689453,-263.496948242,94.949752808,
18,624.751708984,-256.015563965,140.527343750,715.602111816,-263.529724121,94.903976440,
19,624.764770508,-256.021331787,140.487915039,715.608032227,-263.551361084,94.844421387,
20,624.731750488,-256.015625000,140.400924683,715.588989258,-263.535095215,94.782745361,
21,624.687500000,-255.995864868,140.272964478,715.594665527,-263.488281250,94.736236572,
22,624.691406250,-255.986160278,140.252517700,715.602966309,-263.444641113,94.680030823,
23,624.739868164,-255.989868164,140.327102661,715.623229980,-263.462402344,94.714813232,
24,624.722167969,-256.032287598,140.357498169,715.711914063,-263.533294678,95.011734009,
25,624.545349121,-256.821899414,140.626434326,715.880920410,-263.604949951,95.652870178,
26,624.127136230,-258.221405029,141.156143188,716.167724609,-264.009582520,97.069992065,
27,623.713867188,-259.874603271,142.469467163,716.342773438,-265.030731201,99.631347656,
28,623.056030273,-262.456573486,145.273132324,,,,
29,621.918212891,-266.475006104,149.981338501,,,,
30,620.195190430,-272.030975342,156.806594849,,,,
31,618.145751953,-278.128448486,166.599990845,,,,
32,615.633911133,-284.585449219,179.687774658,,,,
33,612.380065918,-291.516601563,195.258117676,,,,
34,608.253112793,-298.402160645,212.439636230,,,,
35,603.327819824,-304.781097412,230.990783691,,,,
36,597.540649414,-310.125946045,250.410568237,683.369506836,-291.162048340,193.097427368,
37,591.024475098,-314.439422607,270.393402100,675.042053223,-294.454162598,210.891052246,
38,584.447875977,-318.169158936,290.987365723,666.486999512,-297.653808594,229.236816406,
39,578.185607910,-321.650512695,311.875427246,657.891784668,-300.650543213,247.667785645,
40,572.248291016,-324.450531006,332.595642090,649.408142090,-303.372680664,265.811218262,
41,567.387268066,-326.444427490,353.106689453,641.608276367,-305.795928955,283.415710449,
42,563.431945801,-328.291870117,372.429199219,634.828430176,-307.795623779,300.141387939,
43,559.990112305,-329.805053711,390.013610840,628.988037109,-309.385559082,315.671478271,
44,557.681579590,-331.120117188,406.304687500,624.135742188,-310.639923096,329.998474121,
45,556.068969727,-331.849761963,421.266052246,620.053161621,-311.539642334,343.079620361,
46,554.557617188,-331.952484131,434.478118896,616.551391602,-312.036865234,354.764495850,
47,552.709533691,-332.048461914,445.304931641,613.672668457,-312.099365234,364.901031494,
48,550.923156738,-331.895080566,453.933258057,611.093933105,-311.919067383,373.189941406,
