Number of frames: 250
Frequency: 50
Units: mm

Frame,finger x,finger y,finger z,palm x,palm y,palm z
1,624.887145996,-251.860671997,139.774368286,,,,
2,624.873291016,-251.865707397,139.779876709,,,,
3,624.876403809,-251.867385864,139.762374878,,,,
4,624.880065918,-251.867889404,139.726547241,,,,
5,624.875427246,-251.879562378,139.729446411,,,,
6,624.876586914,-251.887741089,139.770019531,,,,
7,624.888671875,-251.892837524,139.811340332,,,,
8,624.898437500,-251.901718140,139.831375122,,,,
9,624.897094727,-251.911926270,139.848205566,,,,
10,624.902404785,-251.915771484,139.880233765,,,,
11,624.879394531,-251.911666870,139.892044067,,,,
12,624.856933594,-251.907928467,139.830383301,,,,
13,624.817443848,-251.910583496,139.659118652,,,,
14,624.752990723,-251.903701782,139.491638184,,,,
15,624.681335449,-251.896011353,139.330261230,,,,
16,624.590698242,-252.019409180,139.035934448,,,,
17,624.266723633,-252.650817871,138.671875000,,,,
18,623.621765137,-255.994338989,139.907745361,,,,
19,623.168029785,-260.953582764,142.593185425,,,,
20,623.591125488,-265.994201660,146.837051392,,,,
21,624.758911133,-270.729248047,153.366836548,,,,
22,626.387084961,-275.865631104,162.629409790,,,,
23,628.596252441,-281.826934814,175.262283325,,,,
24,631.540527344,-288.842498779,191.019622803,,,,
25,634.844970703,-296.426605225,209.016921997,,,,
26,637.818603516,-303.531951904,228.715576172,,,,
27,640.148315430,-309.459259033,250.205200195,,,,
28,641.959777832,-313.940093994,273.306884766,,,,
29,643.532165527,-316.408660889,297.697692871,714.600097656,-281.887695313,230.627166748,
30,645.168151855,-317.981689453,322.111175537,713.177185059,-285.391998291,251.081130981,
31,647.457641602,-319.578063965,345.763183594,711.635681152,-288.369354248,270.835540771,
32,649.854858398,-321.640502930,367.485565186,710.018554688,-290.900573730,289.299224854,
33,651.804870605,-323.797760010,386.883575439,708.581542969,-293.086303711,306.401062012,
34,653.247314453,-325.342163086,404.443389893,707.172180176,-294.821655273,322.022857666,
35,654.434509277,-326.772888184,420.269104004,705.978454590,-296.257904053,336.413146973,
36,656.223083496,-327.635742188,435.116455078,705.126770020,-297.565856934,349.683380127,
37,658.068176270,-327.704620361,448.864990234,704.326782227,-298.559967041,361.772735596,
38,659.555847168,-327.615417480,460.839752197,703.369750977,-299.102203369,372.400390625,
39,660.698425293,-327.582977295,470.825531006,702.801757813,-299.399108887,381.527618408,
40,661.745544434,-327.240844727,479.347229004,702.612670898,-299.600311279,389.352447510,
41,662.506591797,-326.387329102,486.763061523,702.369384766,-299.597015381,396.093231201,
42,663.110656738,-325.083496094,493.313201904,701.849548340,-299.372100830,401.874450684,
43,663.362854004,-323.930969238,498.567230225,701.444702148,-298.974121094,406.679107666,
44,663.045410156,-323.450103760,502.217926025,701.244934082,-298.526031494,410.381195068,
45,661.714111328,-324.163208008,504.075439453,700.882812500,-298.066589355,412.984436035,
46,660.536560059,-324.767486572,505.088989258,700.253112793,-297.771209717,414.621826172,
47,659.591857910,-326.050628662,504.946807861,699.538330078,-297.520324707,415.200164795,
48,659.026306152,-326.688659668,504.920745850,698.987487793,-297.557342529,415.409149170,
49,658.437622070,-327.131988525,504.934875488,698.460144043,-297.753021240,415.577911377,
50,658.027832031,-327.370208740,505.010040283,697.946960449,-297.984191895,415.644195557,
51,658.218994141,-327.441406250,505.146087646,697.492858887,-298.273803711,415.456115723,
52,659.150329590,-327.236267090,505.343048096,697.292541504,-298.695526123,414.912353516,
53,659.862670898,-326.630371094,505.240447998,697.430969238,-299.235565186,414.079681396,
54,659.995056152,-327.254333496,503.789215088,697.790893555,-299.619018555,412.832153320,
55,659.682922363,-328.072662354,501.541503906,698.161437988,-299.888854980,411.039886475,
56,658.949951172,-328.918395996,498.502288818,698.337890625,-300.060852051,408.591613770,
57,657.861816406,-329.757141113,494.435363770,698.254821777,-300.205017090,405.159667969,
58,656.651916504,-330.737976074,489.023590088,698.245056152,-300.392974854,400.519287109,
59,655.297302246,-331.814147949,482.175140381,698.452880859,-300.609466553,394.648681641,
60,653.675659180,-332.998779297,473.579071045,698.778259277,-300.751251221,387.353820801,
61,651.872924805,-334.407989502,462.783020020,699.420227051,-300.625061035,378.343139648,
62,650.207214355,-335.571105957,450.227813721,700.021911621,-300.216461182,367.577209473,
63,648.487548828,-335.921569824,436.537536621,700.455627441,-299.622985840,355.442962646,
64,646.054992676,-335.526062012,421.356201172,700.933532715,-298.835968018,342.100921631,
65,643.356750488,-333.306518555,404.953125000,701.780944824,-297.689544678,327.380737305,
66,640.080993652,-329.209106445,386.826538086,703.261230469,-295.973083496,311.447875977,
67,636.775146484,-324.618804932,367.391998291,704.765258789,-293.807830811,294.730895996,
68,633.598388672,-320.145721436,346.921600342,706.108276367,-291.470855713,277.600860596,
69,630.643310547,-314.903594971,325.349060059,707.779602051,-288.704101563,260.197052002,
70,628.432739258,-309.489135742,303.193603516,709.836975098,-285.201965332,242.826477051,
71,626.590698242,-303.878753662,281.541137695,711.591918945,-281.134002686,225.912277222,
72,624.438415527,-297.302825928,260.778198242,712.596069336,-277.077270508,209.496719360,
73,622.665710449,-290.385803223,241.119110107,713.317077637,-273.203033447,193.970489502,
74,622.052246094,-284.439666748,223.003509521,,,,
75,622.070373535,-279.407409668,206.476623535,,,,
76,622.426513672,-274.961853027,191.683349609,,,,
77,623.301757813,-271.563781738,178.792465210,,,,
78,624.479370117,-269.013549805,168.200653076,,,,
79,625.346252441,-266.465637207,159.564926147,,,,
80,625.765441895,-263.740447998,152.944778442,,,,
81,625.968566895,-261.526397705,147.964889526,,,,
82,626.161254883,-259.848114014,144.403045654,,,,
83,626.293640137,-258.483337402,141.818496704,,,,
84,626.373107910,-257.357666016,140.172317505,,,,
85,626.441894531,-256.564178467,139.488800049,,,,
86,626.663391113,-256.414215088,139.579833984,,,,
87,627.021423340,-256.833770752,139.798782349,,,,
88,627.375244141,-257.144226074,139.876266479,,,,
89,627.570556641,-256.955718994,139.687789917,,,,
90,627.646972656,-256.406646729,139.617126465,,,,
91,627.474304199,-255.667602539,139.588302612,,,,
92,627.186035156,-254.792083740,139.463470459,,,,
93,626.910644531,-253.952102661,139.034072876,,,,
94,626.824951172,-253.255584717,138.736770630,,,,
95,626.810852051,-252.793869019,138.678451538,,,,
96,626.852478027,-252.437500000,138.702606201,,,,
97,626.890014648,-252.249511719,138.410034180,,,,
98,626.973266602,-252.184814453,137.794860840,,,,
99,627.118041992,-252.193664551,137.364700317,,,,
100,627.189697266,-252.188522339,137.391448975,,,,
101,627.100830078,-252.072708130,137.551925659,,,,
102,626.929931641,-251.883010864,137.417907715,,,,
103,626.767211914,-251.621246338,137.224517822,,,,
104,626.538635254,-251.343658447,137.177658081,,,,
105,626.290405273,-251.055023193,137.158462524,,,,
106,626.084289551,-250.857757568,137.057830811,,,,
107,625.967956543,-250.830017090,136.888412476,,,,
108,625.932373047,-250.919830322,136.832366943,,,,
109,625.914367676,-251.027267456,136.900054932,,,,
110,625.884948730,-251.082031250,137.039779663,,,,
111,625.830566406,-251.096969604,137.194808960,,,,
112,625.789916992,-251.097396851,137.420883179,,,,
113,625.798706055,-251.105712891,137.726898193,,,,
114,625.830261230,-251.113937378,138.063354492,,,,
115,625.873413086,-251.126281738,138.416992188,,,,
116,625.947875977,-251.150909424,138.718811035,,,,
117,626.045227051,-251.173446655,139.002029419,,,,
118,626.167297363,-251.217514038,139.198806763,,,,
119,626.344604492,-251.300262451,139.282836914,,,,
120,626.561584473,-251.407546997,139.289962769,,,,
121,626.784118652,-251.480728149,139.234161377,,,,
122,627.004028320,-251.500518799,139.084518433,,,,
123,627.245483398,-251.507553101,138.900436401,,,,
124,627.478637695,-251.518295288,138.808044434,,,,
125,627.677307129,-251.528167725,138.795150757,,,,
126,627.852416992,-251.556304932,138.815292358,,,,
127,627.967285156,-251.582778931,138.812683105,,,,
128,628.031188965,-251.618240356,138.840881348,,,,
129,628.004394531,-251.613265991,138.851272583,,,,
130,627.970458984,-251.597427368,138.954589844,,,,
131,627.891967773,-251.576446533,139.030441284,,,,
132,627.821960449,-251.566513062,139.059783936,,,,
133,627.760192871,-251.567169189,139.017898560,,,,
134,627.726745605,-251.573638916,138.922714233,,,,
135,627.745971680,-251.582595825,138.834518433,,,,
136,627.759643555,-251.586822510,138.795394897,,,,
137,627.799255371,-251.586410522,138.863769531,,,,
138,627.796386719,-251.582855225,138.866973877,,,,
139,627.832153320,-251.600708008,138.734649658,,,,
140,627.892944336,-251.668731689,138.571289063,,,,
141,627.981811523,-251.764358521,138.521453857,,,,
142,628.004943848,-251.803756714,138.608688354,,,,
143,627.958435059,-251.789154053,138.694259644,,,,
144,627.874206543,-251.776596069,138.678924561,,,,
145,627.789672852,-251.778594971,138.580184937,,,,
146,627.698181152,-251.780746460,138.458480835,,,,
147,627.611511230,-251.777084351,138.316589355,,,,
148,627.523559570,-251.768188477,138.149551392,,,,
149,627.420349121,-251.744461060,138.037155151,,,,
150,627.295776367,-251.722839355,137.972045898,,,,
151,627.241638184,-251.732894897,137.856872559,,,,
152,627.226623535,-251.776153564,137.760528564,,,,
153,627.236511230,-251.819808960,137.780944824,,,,
154,627.190002441,-251.838211060,137.843887329,,,,
155,627.115722656,-251.835876465,137.881271362,,,,
156,627.043090820,-251.839019775,137.868103027,,,,
157,627.014282227,-251.854583740,137.825454712,,,,
158,626.996459961,-251.872055054,137.726425171,,,,
159,626.963256836,-251.899993896,137.613403320,,,,
160,626.954467773,-251.943771362,137.373580933,,,,
161,626.958740234,-252.000488281,137.121932983,,,,
162,626.983703613,-252.070129395,137.037429810,,,,
163,626.999938965,-252.089782715,136.982559204,,,,
164,627.025329590,-252.100540161,136.909423828,,,,
165,627.044494629,-252.115814209,136.761962891,,,,
166,627.042419434,-252.138702393,136.591857910,,,,
167,627.061767578,-252.184020996,136.479934692,,,,
168,627.047119141,-252.194351196,136.468811035,,,,
169,627.031616211,-252.194305420,136.498672485,,,,
170,627.044921875,-252.210678101,136.522872925,,,,
171,627.080993652,-252.234863281,136.522567749,,,,
172,627.142944336,-252.270645142,136.534881592,,,,
173,627.199279785,-252.312942505,136.544906616,,,,
174,627.261962891,-252.356018066,136.570556641,,,,
175,627.311950684,-252.391036987,136.624282837,,,,
176,627.349060059,-252.416076660,136.675872803,,,,
177,627.400146484,-252.429397583,136.705703735,,,,
178,627.437866211,-252.439270020,136.650512695,,,,
179,627.467407227,-252.456359863,136.563812256,,,,
180,627.460266113,-252.471038818,136.475479126,,,,
181,627.427246094,-252.474014282,136.347595215,,,,
182,627.361511230,-252.459960938,136.282394409,,,,
183,627.270996094,-252.404998779,136.361083984,,,,
184,627.149047852,-252.313125610,136.537582397,,,,
185,627.036865234,-252.210891724,136.638793945,,,,
186,626.974182129,-252.159820557,136.624740601,,,,
187,627.006591797,-252.156723022,136.581115723,,,,
188,627.085571289,-252.163314819,136.475479126,,,,
189,627.186889648,-252.178512573,136.344512939,,,,
190,627.318603516,-252.192565918,136.292205811,,,,
191,627.433044434,-252.194274902,136.333862305,,,,
192,627.509643555,-252.179138184,136.457794189,,,,
193,627.557006836,-252.158752441,136.622970581,,,,
194,627.548156738,-252.134170532,136.758407593,,,,
195,627.512512207,-252.115890503,136.834472656,,,,
196,627.468688965,-252.100189209,136.909912109,,,,
197,627.400695801,-252.081832886,136.993637085,,,,
198,627.343811035,-252.056793213,137.062973022,,,,
199,627.289123535,-252.023315430,137.042602539,,,,
200,627.267517090,-252.007431030,137.035751343,,,,
201,627.257568359,-251.985229492,136.928878784,,,,
202,627.256713867,-251.979843140,136.814056396,,,,
203,627.256591797,-251.992050171,136.651062012,,,,
204,627.238281250,-252.005294800,136.458633423,,,,
205,627.247924805,-252.017684937,136.337860107,,,,
206,627.245605469,-252.028167725,136.278396606,,,,
207,627.252990723,-252.037475586,136.252471924,,,,
208,627.262573242,-252.044143677,136.200042725,,,,
209,627.284851074,-252.050765991,136.192489624,,,,
210,627.292053223,-252.045669556,136.254577637,,,,
211,627.277709961,-252.042373657,136.292022705,,,,
212,627.243347168,-252.037384033,136.348846436,,,,
213,627.206237793,-252.036544800,136.418838501,,,,
214,627.145019531,-252.021835327,136.485794067,,,,
215,627.123229980,-252.012054443,136.449691772,,,,
216,627.109130859,-252.011505127,136.241165161,,,,
217,627.087951660,-252.020462036,135.942001343,,,,
218,627.051757813,-252.010559082,135.758255005,,,,
219,627.028076172,-251.992218018,135.758743286,,,,
220,626.985595703,-251.977737427,135.768676758,,,,
221,626.944458008,-251.984603882,135.734481812,,,,
222,626.903198242,-251.994842529,135.678222656,,,,
223,626.872619629,-252.002899170,135.640930176,,,,
224,626.838623047,-251.999084473,135.624099731,,,,
225,626.790771484,-251.987899780,135.587112427,,,,
226,626.722839355,-251.983505249,135.542892456,,,,
227,626.688781738,-251.984222412,135.538177490,,,,
228,626.652832031,-251.989074707,135.595474243,,,,
229,626.638183594,-251.986434937,135.628524780,,,,
230,626.629760742,-251.996185303,135.569396973,,,,
231,626.609863281,-252.000289917,135.481964111,,,,
232,626.546936035,-251.997833252,135.407318115,,,,
233,626.496276855,-252.005706787,135.309463501,,,,
234,626.453674316,-252.034347534,135.085494995,,,,
235,626.421752930,-252.061904907,134.867828369,,,,
236,626.386291504,-252.075881958,134.695083618,,,,
237,626.327941895,-252.073852539,134.573776245,,,,
238,626.301147461,-252.072891235,134.513137817,,,,
239,626.260253906,-252.069122314,134.439102173,,,,
240,626.260009766,-252.071807861,134.401336670,,,,
241,626.211303711,-252.073577881,134.396224976,,,,
242,626.166809082,-252.083877563,134.396194458,,,,
243,626.119812012,-252.083023071,134.402252197,,,,
244,626.061340332,-252.083618164,134.320404053,,,,
245,626.012878418,-252.080322266,134.223968506,,,,
246,625.994750977,-252.084960938,134.153320313,,,,
247,625.985351563,-252.086029053,134.118240356,,,,
248,625.993835449,-252.092178345,134.096237183,,,,
249,625.976745605,-252.102035522,134.039901733,,,,
250,625.952087402,-252.108428955,133.978210449,,,,
