Number of frames: 250
Frequency: 50
Units: mm

Frame,finger x,finger y,finger z,palm x,palm y,palm z
1,625.364501953,-255.426116943,145.123565674,718.329467773,-257.915832520,104.832672119,
2,625.396362305,-255.436065674,145.108840942,718.364868164,-257.936004639,104.820228577,
3,625.406555176,-255.453308105,145.059310913,718.373413086,-257.950683594,104.785217285,
4,625.372680664,-255.455169678,145.042373657,718.348449707,-257.951263428,104.783348083,
5,625.349853516,-255.449554443,145.036285400,718.328613281,-257.943817139,104.774673462,
6,625.368896484,-255.462860107,144.997985840,718.333984375,-257.945861816,104.724533081,
7,625.383666992,-255.481246948,144.929107666,718.359191895,-257.967010498,104.669250488,
8,625.385253906,-255.491317749,144.884887695,718.367065430,-257.991027832,104.664108276,
9,625.384338379,-255.497253418,144.921691895,718.364746094,-257.994171143,104.676414490,
10,625.378723145,-255.508865356,144.931228638,718.371154785,-257.985260010,104.672660828,
11,625.359558105,-255.519119263,144.893478394,718.344482422,-257.987792969,104.672538757,
12,625.285034180,-255.533386230,144.879272461,718.284423828,-257.971771240,104.692680359,
13,625.168884277,-255.558990479,144.879425049,718.191040039,-257.958740234,104.819755554,
14,624.942993164,-255.770370483,144.853973389,,,,
15,624.740600586,-256.743438721,145.446212769,,,,
16,624.454040527,-258.225799561,146.222686768,,,,
17,623.725402832,-260.485870361,147.378494263,,,,
18,622.478149414,-263.583831787,149.470672607,,,,
19,621.059936523,-267.729522705,153.466384888,,,,
20,619.530029297,-273.006164551,160.370849609,,,,
21,617.614501953,-278.992034912,170.004333496,,,,
22,614.850585938,-285.333129883,181.884185791,,,,
23,611.055297852,-291.791534424,195.671890259,,,,
24,606.235107422,-298.442199707,211.263305664,,,,
25,600.063842773,-304.470001221,228.305114746,,,,
26,592.464904785,-309.305603027,246.667358398,,,,
27,584.058837891,-313.071136475,266.761962891,,,,
28,575.355773926,-315.877563477,288.057495117,662.165771484,-293.174560547,234.689117432,
29,566.771545410,-317.936737061,309.550018311,652.381469727,-296.708343506,254.018081665,
30,558.556457520,-319.853759766,330.775695801,642.834045410,-299.855865479,273.111541748,
31,550.698364258,-322.103088379,351.307098389,633.314025879,-302.605682373,291.389892578,
32,543.462341309,-324.456176758,371.089111328,623.931701660,-304.956573486,308.743499756,
33,537.466247559,-325.814239502,390.498504639,615.173217773,-307.044586182,325.116088867,
34,532.208557129,-326.735076904,407.774169922,607.991088867,-308.980224609,340.312805176,
35,527.443115234,-328.473999023,421.739959717,602.510803223,-310.695770264,353.699981689,
36,523.659179688,-330.349792480,433.660827637,597.792297363,-312.082214355,364.902374268,
