Number of frames: 1500
Frequency: 500
Units: mm

Frame,finger x,finger y,finger z,thumb x,thumb y,thumb z
1,598.079650879,-201.791900635,152.019424438,611.334167480,-209.915374756,135.510650635,
2,598.076599121,-201.793792725,152.022308350,611.328247070,-209.915893555,135.505676270,
3,598.078369141,-201.797531128,152.026000977,611.322570801,-209.915039063,135.507522583,
4,598.062133789,-201.802200317,152.024642944,611.313293457,-209.915817261,135.504165649,
5,598.048828125,-201.803588867,152.028518677,611.304565430,-209.915069580,135.501586914,
6,598.044982910,-201.805938721,152.027175903,611.303100586,-209.916336060,135.502502441,
7,598.044555664,-201.807952881,152.030654907,611.299072266,-209.917388916,135.498565674,
8,598.037841797,-201.811355591,152.034683228,611.289184570,-209.914154053,135.494949341,
9,598.044494629,-201.813751221,152.034851074,611.282958984,-209.916259766,135.490768433,
10,598.025512695,-201.817443848,152.036224365,611.279235840,-209.918548584,135.489791870,
11,598.023559570,-201.818252563,152.039001465,611.265991211,-209.919769287,135.491500854,
12,598.008178711,-201.822799683,152.036758423,611.263244629,-209.921112061,135.489776611,
13,598.008422852,-201.823455811,152.039154053,611.259155273,-209.922775269,135.485153198,
14,597.991760254,-201.825759888,152.038482666,611.249938965,-209.924148560,135.482772827,
15,597.999389648,-201.828414917,152.041061401,611.243591309,-209.925720215,135.483245850,
16,597.983520508,-201.829605103,152.036819458,611.234741211,-209.925903320,135.481094360,
17,597.975952148,-201.831878662,152.033843994,611.228881836,-209.925918579,135.477508545,
18,597.975036621,-201.833404541,152.034988403,611.221923828,-209.927719116,135.475402832,
19,597.957214355,-201.835510254,152.034774780,611.209228516,-209.930831909,135.471527100,
20,597.965087891,-201.835708618,152.035598755,611.203796387,-209.930679321,135.470535278,
21,597.955993652,-201.839202881,152.034774780,611.203430176,-209.930694580,135.472640991,
22,597.946899414,-201.840087891,152.034240723,611.197998047,-209.932800293,135.468521118,
23,597.938415527,-201.841705322,152.031219482,611.195434570,-209.931823730,135.467315674,
24,597.943359375,-201.845443726,152.036148071,611.182312012,-209.934875488,135.466720581,
25,597.933776855,-201.846176147,152.035324097,611.169616699,-209.937759399,135.461822510,
26,597.928039551,-201.847717285,152.035827637,611.169860840,-209.939712524,135.463653564,
27,597.917358398,-201.848526001,152.035186768,611.161315918,-209.941650391,135.465835571,
28,597.917480469,-201.849700928,152.036743164,611.156127930,-209.941421509,135.464355469,
29,597.906799316,-201.853469849,152.035293579,611.151062012,-209.943038940,135.461975098,
30,597.913146973,-201.851684570,152.037689209,611.141662598,-209.947357178,135.461669922,
31,597.916015625,-201.851776123,152.039962769,611.152038574,-209.947326660,135.467147827,
32,597.897521973,-201.855407715,152.036666870,611.148010254,-209.949691772,135.467025757,
33,597.904296875,-201.856506348,152.040084839,611.122863770,-209.955291748,135.463638306,
34,597.895080566,-201.857925415,152.039505005,611.122253418,-209.955871582,135.466552734,
35,597.891845703,-201.859252930,152.042434692,611.129699707,-209.955245972,135.468750000,
36,597.889282227,-201.860015869,152.042846680,611.124328613,-209.955871582,135.468627930,
37,597.899597168,-201.861572266,152.042663574,611.115173340,-209.956344604,135.467727661,
38,597.883239746,-201.864288330,152.042236328,611.103515625,-209.957763672,135.470138550,
39,597.872192383,-201.863403320,152.042587280,611.094482422,-209.960708618,135.473587036,
40,597.880065918,-201.863922119,152.044250488,611.093017578,-209.960952759,135.471206665,
41,597.876220703,-201.862426758,152.045883179,611.094604492,-209.962966919,135.473251343,
42,597.867126465,-201.864700317,152.044876099,611.089843750,-209.964553833,135.475128174,
43,597.868225098,-201.866058350,152.049209595,611.087280273,-209.962219238,135.475326538,
44,597.872436523,-201.866271973,152.047576904,611.083435059,-209.962692261,135.477111816,
45,597.875793457,-201.865219116,152.047271729,611.077636719,-209.964126587,135.477478027,
46,597.873596191,-201.864990234,152.047195435,611.076049805,-209.964218140,135.477005005,
47,597.853149414,-201.868927002,152.045669556,611.068054199,-209.964691162,135.474319458,
